Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
58,2117293311,카페미트,제주특별자치도 제주시 애월읍 하귀1리,385-4,http://t1.daumcdn.net/localfiy/E87097A826BB4FF1B9A0B45F7F75E054
59,1609166877,지니어스키즈카페,제주특별자치도 제주시 일도2동,416-15,http://t1.daumcdn.net/localfiy/C86E004D60AE42FFA1ADE322ADD7CEB5
60,834428289,카페브로떼,제주특별자치도 서귀포시 성산읍 성산리,362-1,http://t1.daumcdn.net/localfiy/searchregister_1264659230
61,16266379,루머팡모슬포점,제주특별자치도 서귀포시 대정읍 하모리,770-2,http://t1.daumcdn.net/place/1737702D959540EE820FFDEA197AD826
62,500837796,뺄락,제주특별자치도 서귀포시 법환동,218,http://t1.daumcdn.net/cfile/27606B345789BF6010
63,1796711727,초이스폰카페,제주특별자치도 제주시 건입동,1045-8,
64,1614189965,조천틈,제주특별자치도 제주시 조천읍 조천리,2368,http://t1.daumcdn.net/place/F3B37C746B6F4CDFA56A48C9115763EB
65,276957303,카페브리프,제주특별자치도 제주시 애월읍 고성리,443,http://t1.daumcdn.net/localfiy/searchregister_1749345414
66,27127352,봉다방,제주특별자치도 제주시 일도1동,1484-9,http://t1.daumcdn.net/place/4AF50D5AB27B48A998D5D7EF1228D238
67,1304505019,풍양,제주특별자치도 제주시 용담2동,928-30,
68,616350321,파파모아,제주특별자치도 서귀포시 법환동,161-6,
69,11327203,정다운다방,제주특별자치도 제주시 구좌읍 세화리,1419,
70,1077012209,강원,제주특별자치도 제주시 일도1동,1476-47,
71,1970448148,카페소리,제주특별자치도 서귀포시 안덕면 서광리,1611-1,http://t1.daumcdn.net/cfile/2738314957E4EF4E26
72,26530095,미세스테라,제주특별자치도 제주시 아라이동,1394-11,
73,483523399,토니페퍼커피,제주특별자치도 제주시 노형동,1054-6,
74,153768001,더벌브,제주특별자치도 제주시 삼도일동,799,
75,1247991740,카페무보,제주특별자치도 제주시 한림읍 금능리,1472-1,
76,1570250119,해브어싯,제주특별자치도 서귀포시 호근동,1851-3,http://t1.daumcdn.net/localfiy/searchregister_1361843876
77,1572291358,노을코지,제주특별자치도 제주시 용담삼동,2572-6,http://t1.daumcdn.net/place/1A73ED0CEE754BC3A357B10A824DA70B
78,26867476,카페델문도,제주특별자치도 제주시 조천읍 함덕리,1008-1,http://t1.daumcdn.net/place/509299E8831E4E789074288A8201779F
79,1735739279,제주인에이에이 카페,제주특별자치도 제주시 구좌읍 한동리,8-8,http://t1.daumcdn.net/place/ECEE11033D684BE59B9325725407CA8D
80,25548687,유나카페,제주특별자치도 서귀포시 남원읍 신례리,57-1,http://t1.daumcdn.net/place/4560E2D7115643659B3DA6E99E7F36F1
81,1870077858,케이독서실스터디카페,제주특별자치도 제주시 이도이동,2018-3,
82,1453676427,더베이직커피,제주특별자치도 제주시 일도2동,409-7,
83,970092472,노을카페,제주특별자치도 서귀포시 대정읍 하모리,848-16,
84,1535905073,카페자리,제주특별자치도 서귀포시 강정동,779,http://t1.daumcdn.net/localfiy/searchregister_1418227931
85,1144598364,올리제리수,제주특별자치도 제주시 연동,1510-3,
86,9062785,뱅크다방,제주특별자치도 서귀포시 서귀동,257-5,
87,10395144,베트로커피,제주특별자치도 서귀포시 정방동,420-5,
88,1170785054,제레미,제주특별자치도 제주시 애월읍 애월리,1549,http://t1.daumcdn.net/place/EAC00E923FDC4415A1EA02230F9136AD
89,11186789,오다방,제주특별자치도 제주시 건입동,674-48,
90,1723598209,토템오어,제주특별자치도 제주시 한경면 조수리,1365-5,http://t1.daumcdn.net/place/286053DC6FBB4E648201DD2414D71499
91,981451981,플로우,제주특별자치도 서귀포시 상예동,592-1,http://t1.daumcdn.net/localfiy/FFE4DEB74DAB4D74BA221C4DA8F4D262
92,26596609,뷔쏭,제주특별자치도 서귀포시 동홍동,476-6,http://t1.daumcdn.net/place/A717EEED4FF74A60A9F9CA1CBDEE6863
93,24266478,매기의추억,제주특별자치도 제주시 한림읍 귀덕리,4142-1,http://t1.daumcdn.net/place/5A825FFA4F9D4C14A2372BB108C7FE78
94,1444298172,수카사,제주특별자치도 제주시 구좌읍 행원리,701,http://t1.daumcdn.net/place/092DC4FEA3A9498EA9584EF62D430476
95,1667909845,미어,제주특별자치도 서귀포시 하효동,999-9,http://t1.daumcdn.net/localfiy/searchregister_54746227
96,1545530268,복카페,제주특별자치도 서귀포시 성산읍 온평리,625-1,http://t1.daumcdn.net/localfiy/08882961C5AD4CCD8DBFC44DC785AB5A
97,555396252,슬랩,제주특별자치도 제주시 한림읍 협재리,1740-2,
98,20457359,늘봄커피편의점,제주특별자치도 제주시 노형동,2343-3,
