,0
328,2007571872
329,13127508
330,115388983
331,547787267
332,26503795
333,798656427
334,2058969392
335,1603000223
336,540531467
337,19771364
338,1586433360
339,1563601606
340,27222222
341,884874055
342,1950228127
343,30139815
344,1265799661
345,22838105
346,15542577
347,17898295
348,1536848112
349,18233689
350,23104656
351,256377512
352,20176607
353,18522440
354,26786520
355,8580336
356,24712209
357,1493300746
358,1361998175
359,365122787
360,26264322
361,85931195
362,1322258770
363,1685775994
364,19866819
365,16833436
366,912342726
367,1648261969
368,1292966430
369,541903583
370,896315145
371,17766800
372,21309162
373,274060572
374,1013835521
375,11204547
376,1251723849
377,10565347
378,1420907296
379,24983104
380,1191469287
381,24529456
382,1366075110
383,565617348
384,2060626816
385,1918653143
386,1596466852
387,1910534579
388,1059318772
389,20691648
390,72584373
391,257843462
392,473251354
393,332313480
394,1425955692
395,20458456
396,27391690
397,9860668
398,58265453
399,27588072
400,2090297608
401,739605782
402,891497305
403,1764994175
404,1818096037
405,1398000881
406,2036344906
407,15852294
408,439182629
409,1922855572
410,26528224
411,23257049
412,15566586
413,61000120
414,27208308
415,966509222
416,1603055034
417,10756504
418,25497397
419,29208296
420,292678268
421,660471801
422,886040667
423,9283479
424,22894694
425,871881759
426,13283796
427,1567211065
428,19773549
429,12622020
430,26350894
431,571719196
432,1425230111
433,25085808
434,27529259
435,8502392
436,548535443
437,1098065316
438,6325127
439,21566288
440,84507802
441,1923266961
442,10636099
443,23944620
444,14610835
445,27335469
446,914906312
447,26891735
448,233743673
449,17232405
450,290382977
451,17900540
452,26915541
453,553377015
454,850195096
455,1232621458
456,25757901
457,1986031547
458,14664913
459,1191356724
460,25702654
461,26371405
462,15639315
463,1231971889
464,317102094
465,1955479566
466,26143893
467,26635318
468,593296306
469,19632853
470,1826863790
471,20263439
472,18838340
473,1597324581
474,26576493
475,1958383796
476,26876324
477,38149795
478,14101277
479,21547276
480,21528934
481,1843220718
482,15554662
483,1171003023
484,2104119400
485,18300298
486,1375299538
487,1705113655
488,19083827
489,677085788
490,17452900
491,24026063
492,27542243
493,27265307
494,24728892
495,1689160633
496,27221956
497,10108717
498,25589988
499,27145886
500,647149044
501,597033503
502,1834090019
503,1947663934
504,11364025
505,1189580902
506,26633475
507,1317962525
508,877404031
509,26514889
510,18394009
511,1055190967
512,19748755
513,1005222436
514,1338318368
515,1546392933
516,152584639
517,206709125
518,1693150085
519,27497877
520,26787452
521,1668885826
522,1886872931
523,8254991
524,220618793
525,27237677
526,1166500601
527,1024025969
528,731082647
529,2128776949
530,619039691
531,268761850
532,905250000
533,1208782451
534,27598048
535,26973747
536,923425597
537,845490784
538,221371149
539,9759552
540,8491179
541,19312519
542,15254968
543,15966014
544,8665110
545,1523413414
546,1288310527
547,1124224207
548,845441282
549,2008857107
550,792242154
551,686451202
552,33227807
553,25157436
554,17434117
555,909611300
556,56105489
557,1595124840
558,237818484
559,495042787
560,26882860
561,785315319
562,1903101962
563,1369887624
564,24943195
565,615199217
566,1482648752
567,1814111982
568,20493423
569,704440992
570,1995458758
571,787154430
572,21517570
573,284916087
574,1820734195
575,26915477
576,14076499
577,435677061
578,498699646
579,1630752171
580,1157356606
581,1656006542
582,681147258
583,1643413816
584,355419099
585,828971322
586,404285393
587,13811905
588,203008166
589,1819343618
590,410969655
591,462010031
592,1502880648
593,14492238
594,1754902304
595,1903420610
596,1176251535
597,2133098456
598,859386380
599,300810904
600,220412132
601,895835518
602,690164532
603,27360921
604,24347321
605,26613718
606,608502314
607,217855261
608,10763080
609,12360051
610,437916891
611,15682000
612,186143763
613,814024450
614,631880226
615,27173949
616,26314496
617,1748575785
618,759242783
619,301246538
620,21454251
621,24119025
622,1053673971
623,1971639400
624,1983578192
625,27505012
626,8538347
627,27029887
628,711594291
629,9885435
630,20195444
631,639436403
632,1035881278
633,1926984861
634,24894271
635,9398816
636,405890910
637,21515620
638,21500283
639,1894599836
640,1667552078
641,1824227168
642,2043816287
643,20621853
644,1189207447
645,1358103055
646,25816147
647,670261797
648,19696283
649,25645551
650,18561076
651,2052698459
652,27111830
653,582739382
654,26316720
655,495424696
656,24710559
657,1778264062
658,8847480
659,20281849
660,2020001013
661,24371542
662,365182368
663,1517708515
664,24484623
665,26885600
666,620513677
667,1881290367
668,495431882
669,1714705343
670,524114614
671,21299255
672,21607825
673,1431108295
674,397690161
675,27231185
676,419491158
677,948241185
678,13622246
679,26222794
680,14608730
681,759893317
682,1435079685
683,13616943
684,1316013494
685,1080732845
686,21473253
687,15991302
