,addrbunho,address,cafe,cafe_id,image_url,franchise
66,797-9,제주특별자치도 제주시 애월읍 소길리,난장이공,25081546,http://t1.daumcdn.net/place/AAFA87F418F44FD5B4C7BB5B824B8484,0.0
67,6097-23,제주특별자치도 제주시 아라일동,점프노리키즈카페 제주아라점,24995428,http://t1.daumcdn.net/place/061BCD1A9A694E07A6D1509AE2CC642F,0.0
68,951-1,제주특별자치도 서귀포시 성산읍 온평리,이리와서네,17358222,,0.0
69,416-15,제주특별자치도 제주시 일도이동,지니어스방탈출키즈카페,1317904920,,0.0
70,3975-2,제주특별자치도 서귀포시 대정읍 상모리,퀸틸리스,2063104773,http://t1.daumcdn.net/place/E638F32459D24BC2A0B38BED307D9AA8,0.0
71,1426-3,제주특별자치도 제주시 한림읍 금능리,파라토도스 오션뷰카페,1453089281,http://t1.daumcdn.net/place/1B13BB1CD5724121963EEA43464EB93B,0.0
72,1174-13,제주특별자치도 제주시 이도2동,카페무세띠,425490754,,0.0
73,44-9,제주특별자치도 서귀포시 표선면 표선리,까떼커피,646235382,http://t1.daumcdn.net/place/F53FF861D83845D39DF949190DED4B5F,0.0
74,2512-1,제주특별자치도 제주시 우도면 연평리,쉬젠,1836523652,,0.0
75,957-3,제주특별자치도 제주시 조천읍 함덕리,알라스카인제주,24545861,http://t1.daumcdn.net/place/B6D124FF622C4C689BFA17531F0C36EC,0.0
76,1411-3,제주특별자치도 제주시 연동,브라운카페,9060022,http://t1.daumcdn.net/place/216C407AB911401BA7916B5C0DE653D3,0.0
77,409-5,제주특별자치도 서귀포시 남원읍 태흥리,간이옥돔역,27184109,http://t1.daumcdn.net/place/19025A2212CF462E960DD42D82438F5B,0.0
78,1028,제주특별자치도 제주시 한림읍 귀덕리,카페콜라,27237081,http://t1.daumcdn.net/place/71943587F72F498485BC65F104755298,0.0
79,2912-5,제주특별자치도 제주시 오라삼동,카페조아,784765466,,0.0
80,1772-17,제주특별자치도 제주시 이도2동,빠빠라기 시청점,11053803,http://t1.daumcdn.net/place/672C6E28ED514094B1DAF008AA3293AC,0.0
81,1038-8,제주특별자치도 제주시 애월읍 유수암리,오븐의일,537355719,http://t1.daumcdn.net/localfiy/112AE0CFE9D04F2FBF9EE3C2134591DE,0.0
82,416-16,제주특별자치도 제주시 일도2동,마리웨일237 제주일도점,990327115,http://t1.daumcdn.net/cfile/222C164C574BC59911,0.0
83,1965-15,제주특별자치도 제주시 이도이동,티하우스 오온,237123710,http://t1.daumcdn.net/place/E2BAAAB9829D4E03B38AA7BA41707C23,0.0
84,1062-5,제주특별자치도 제주시 노형동,브런치카페론다,1895306176,,0.0
85,353-2,제주특별자치도 서귀포시 표선면 세화리,라그라스,291795118,,0.0
86,3100-3,제주특별자치도 제주시 오라이동,파스쿠찌 신제주점,26974861,,1.0
87,1174-5,제주특별자치도 제주시 이도이동,통큰아이카페,863489588,,0.0
88,1709,제주특별자치도 제주시 이호일동,요기나와,603124678,http://t1.daumcdn.net/place/0EC53D599A7F4E4A83EA654ACF242BD8,0.0
89,256-25,제주특별자치도 서귀포시 서귀동,해당화다방,10925287,,0.0
90,1766-7,제주특별자치도 제주시 이도이동,커피파인더,1505002027,http://t1.daumcdn.net/place/FA0ACE4375A34444A61FEDF013F58F28,0.0
91,446-3,제주특별자치도 서귀포시 서귀동,오버더윈도우,1191527008,http://t1.daumcdn.net/place/8BB9AE6050434C029CDE0422477A8887,0.0
92,2059-2,제주특별자치도 서귀포시 중문동,빈스와플,12768122,http://t1.daumcdn.net/place/F11364853ED14AD8B6B7B248E397266D,0.0
93,195-1,제주특별자치도 서귀포시 성산읍 시흥리,네스카페 제주성산리조트점,26943770,http://t1.daumcdn.net/place/88B1AB1B65A345B99BBA8A168835EFFA,0.0
94,6038-5,제주특별자치도 제주시 아라일동,차세상,23674179,http://t1.daumcdn.net/localfiy/16C2F73798344F8F8B2568606BA4824C,0.0
95,498-9,제주특별자치도 제주시 외도일동,메가엠지씨커피제주외도점,1233330231,,0.0
96,1488-1,제주특별자치도 제주시 구좌읍 세화리,로이셀세화,592590141,,0.0
97,555-6,제주특별자치도 제주시 애월읍 구엄리,포메르,24450561,http://t1.daumcdn.net/place/5A2CCEDF0A7449CF98971604C727B513,0.0
98,1338,제주특별자치도 제주시 일도1동,슈가갤러리,1184824906,http://t1.daumcdn.net/place/9AF23E6876774B6FBC9ED7109AB04B25,0.0
99,1202-2,제주특별자치도 제주시 한림읍 한림리,해인의정제,27048565,,0.0
100,962-2,제주특별자치도 서귀포시 대정읍 하모리,보리다방,2008653310,,0.0
101,879,제주특별자치도 서귀포시 표선면 표선리,도바나,1624310743,http://t1.daumcdn.net/localfiy/searchregister_33783479,0.0
102,417-13,제주특별자치도 서귀포시 동홍동,커피516,1940356147,,0.0
103,481-25,제주특별자치도 제주시 용담2동,커피스트릿16,2002632309,http://t1.daumcdn.net/localfiy/17A4C845E6E04F05B242D44DC234FFEB,0.0
104,2588-8,제주특별자치도 제주시 노형동,달달구리,25575534,http://t1.daumcdn.net/place/CDA6819735B540A1AA898DCC0BBBB60A,0.0
105,1089-23,제주특별자치도 서귀포시 대정읍 하모리,카페52,966859018,http://t1.daumcdn.net/place/B903C4D6AEB5491C8D78ED17404F607D,0.0
106,4009,제주특별자치도 제주시 구좌읍 김녕리,김녕처럼,1087979655,http://t1.daumcdn.net/localfiy/48380C65DBAC4834B84D55E292DD599A,0.0
107,918-2,제주특별자치도 제주시 도남동,미르,21928334,,0.0
108,1322,제주특별자치도 제주시 건입동,로스크,56646187,http://t1.daumcdn.net/place/5B697394204B43FA87DB59865A7F3B11,0.0
109,1,제주특별자치도 제주시 아라일동,한라카페테리아,139556873,,0.0
110,273-20,제주특별자치도 제주시 연동,설빙 신제주직영점,24766902,http://t1.daumcdn.net/place/C2927C983A1B4BC2A067F657B5FCCC67,0.0
111,536-4,제주특별자치도 제주시 구좌읍 월정리,모래비커피팩토리,1805030433,http://t1.daumcdn.net/place/0B73324B7D1A408BA39AB73EF540A928,0.0
112,2969,제주특별자치도 제주시 회천동,오르미,1359144936,,0.0
113,2547,제주특별자치도 제주시 도두일동,비엔도두지점,2097901839,,0.0
114,2864-36,제주특별자치도 서귀포시 색달동,중문다방,27549454,http://t1.daumcdn.net/place/15787C3A8BD14ADA9278BFDAB67C674C,0.0
115,212,제주특별자치도 제주시 조천읍 신촌리,사계카페2,773605588,,0.0
116,747-2,제주특별자치도 서귀포시 법환동,카페나인,1081428596,,0.0
117,144-8,제주특별자치도 제주시 용담1동,다인다방,21480873,,0.0
118,156-1,제주특별자치도 제주시 애월읍 하귀1리,알라스카인제주,499698149,,0.0
119,476,제주특별자치도 제주시 조천읍 교래리,더로맨틱 내생에가장아름다운날들,1351854455,http://t1.daumcdn.net/place/D9F6AD5520B44A34A1E93F4BC18AF16A,0.0
120,1119,제주특별자치도 서귀포시 성산읍 온평리,미오,18775659,,0.0
121,1112-4,제주특별자치도 제주시 애월읍 하귀1리,하녹티하우스,1890673842,http://t1.daumcdn.net/localfiy/B76429DB76784C46AA8D39F7319CC2E2,0.0
122,417-2,제주특별자치도 서귀포시 서귀동,쥬씨 올래시장점,1294301255,,0.0
123,732-2,제주특별자치도 제주시 조천읍 교래리,돌카롱,544218596,http://t1.daumcdn.net/place/EF7D728B337A40DF9845E27916D28748,0.0
124,40-32,제주특별자치도 서귀포시 표선면 표선리,돌토고리카페,26987151,http://t1.daumcdn.net/place/7CA4BB0206064F2EA0B7BAD8990D8A0E,0.0
125,309-1,제주특별자치도 서귀포시 서귀동,더블디,14608191,,0.0
126,435,제주특별자치도 제주시 용담2동,노셋플랜즈,2127711601,http://t1.daumcdn.net/place/50192689892F4B8CBE8E733CDECE5066,0.0
127,291-101,제주특별자치도 제주시 연동,베네토,24211864,http://t1.daumcdn.net/place/BFCE1FF4EFD747B58D1D3CE786BCA5F1,0.0
128,1308-2,제주특별자치도 서귀포시 대정읍 일과리,날외15,1679229749,http://t1.daumcdn.net/localfiy/4222BD47F4CA4FC3BCF339888536D7CB,0.0
129,694-3,제주특별자치도 제주시 도남동,파스쿠찌 제주종합청사점,26503933,http://t1.daumcdn.net/place/66547E013B5C46008C99A556E9D66568,1.0
130,2318-3,제주특별자치도 제주시 용담삼동,마스코트,1701458616,http://t1.daumcdn.net/localfiy/searchregister_1511418169,0.0
131,308,제주특별자치도 서귀포시 성산읍 성산리,오르다,1820359262,http://t1.daumcdn.net/place/98DAAB2CB28A46669FF0B142E2AA0B99,0.0
132,2140-6,제주특별자치도 서귀포시 남원읍 남원리,카페가뫼몰,21748381,,0.0
133,1041-1,제주특별자치도 제주시 애월읍 유수암리,애월청과,1073145800,,0.0
134,3723-1,제주특별자치도 서귀포시 대정읍 상모리,밀로드,1768726452,http://t1.daumcdn.net/localfiy/searchregister_375467146,0.0
135,172-3,제주특별자치도 서귀포시 강정동,채점석 베이커리&커피,18629995,http://t1.daumcdn.net/place/D904A96CFA1F4A058780777A7265A8E8,0.0
136,594-4,제주특별자치도 제주시 구좌읍 행원리,걷다워크인제주,26854693,http://t1.daumcdn.net/place/028CA9CA8D8D4CDF9B6CBD5AF011D5F0,0.0
137,1285-1,제주특별자치도 제주시 애월읍 구엄리,카페소금,1450044291,http://t1.daumcdn.net/place/0CF555B7381E4CF5A7384FF8D65BAA4F,0.0
138,641,제주특별자치도 서귀포시 성산읍 수산리,프로젝트비,24120254,http://t1.daumcdn.net/place/E9A39150B49F4443BB9B85F94D519790,0.0
139,2411,제주특별자치도 제주시 애월읍 유수암리,카페나오,1166708713,,0.0
140,3178-1,제주특별자치도 제주시 오라이동,카페위더스,1683690976,,0.0
141,526-3,제주특별자치도 제주시 삼도1동,카페소해피,2106909178,http://t1.daumcdn.net/place/26C2D77884C241F99C082AE60C6F310B,0.0
142,1010-10,제주특별자치도 제주시 이도2동,케이엠엘리더갤러리카페(제주시청점),2025723267,,0.0
143,2147-30,제주특별자치도 서귀포시 안덕면 사계리,라마레,1611754279,,0.0
144,1908,제주특별자치도 제주시 조천읍 와흘리,트라인커피,1363724318,http://t1.daumcdn.net/place/981C6990AED14130B457E98BAD94BEA1,0.0
145,829-5,제주특별자치도 서귀포시 남원읍 신례리,네이처캔버스,713222734,http://t1.daumcdn.net/place/C58E25F4E7DE437DA94156B4116B960E,0.0
146,290-9,제주특별자치도 제주시 우도면 연평리,카페인우도,184819082,,0.0
147,634-1,제주특별자치도 제주시 애월읍 장전리,시루애월,819891458,http://t1.daumcdn.net/localfiy/176E70BB7DD94CFDB85837E6597FFE03,0.0
148,873-1,제주특별자치도 서귀포시 대정읍 하모리,장미다방,10726823,,0.0
149,1518-2,제주특별자치도 제주시 구좌읍 행원리,카페기억해,553133678,http://t1.daumcdn.net/place/8EA54BFB293647E7A0D91E1452C4036A,0.0
150,6151-6,제주특별자치도 제주시 아라일동,렛츠셀프,1928995179,,0.0
151,409,제주특별자치도 제주시 이도2동,아이스빈 일도점,14737236,,0.0
152,22,제주특별자치도 제주시 이호이동,디저트39 제주S중앙병원점,1485843941,http://t1.daumcdn.net/localfiy/346E88627CFF49CBAD65050386CA3E0D,0.0
153,1642-1,제주특별자치도 제주시 조천읍 와산리,카페수블리,1434854624,http://t1.daumcdn.net/localfiy/3B35D2D2FCE64EBD8878E8C67616E63E,0.0
154,271-37,제주특별자치도 서귀포시 서귀동,향까페,15097158,,0.0
155,1080-1,제주특별자치도 제주시 이도2동,칼디와커피콩,14828356,,0.0
156,1401-1,제주특별자치도 제주시 이도1동,컴플렉스,1556209480,http://t1.daumcdn.net/localfiy/A81E068885F94160967A01FB1F4B3BEF,0.0
157,690,제주특별자치도 제주시 우도면 연평리,온오프,1630713791,http://t1.daumcdn.net/place/269AF2E572CF4D87987A523280C45F6D,0.0
158,293-9,제주특별자치도 서귀포시 서귀동,스타벅스 제주서귀포점,23066705,http://t1.daumcdn.net/place/202B56CF756D4AF1B964E5D8C309DE27,1.0
159,1136,제주특별자치도 제주시 건입동,명다방,10328679,,0.0
160,1509-8,제주특별자치도 제주시 연동,피어나,18619103,,0.0
161,6093-7,제주특별자치도 제주시 아라일동,미녀들의수다 아라스위첸점,556270938,,0.0
162,48-5,제주특별자치도 제주시 일도2동,카페봄봄,953763366,http://t1.daumcdn.net/place/913E1D726F3146618B770CC22FB3A940,0.0
163,2610,제주특별자치도 제주시 구좌읍 송당리,블랑벨,43428286,,0.0
164,313-2,제주특별자치도 제주시 이호일동,STOP샷 사진카페,192759249,,0.0
165,363-6,제주특별자치도 제주시 내도동,작은쉼표,1838291163,,0.0
166,397-96,제주특별자치도 서귀포시 서홍동,애프터눈,12624890,http://t1.daumcdn.net/cfile/1322040C4CA0B30934,0.0
167,663-4,제주특별자치도 서귀포시 보목동,카페 보몽드,890412207,http://t1.daumcdn.net/localfiy/searchregister_1573946066,0.0
168,195-1,제주특별자치도 서귀포시 표선면 세화리,돌코롬봉봉,32245485,,0.0
169,904-1,제주특별자치도 서귀포시 도순동,올디벗구디,148780844,,0.0
170,163,제주특별자치도 서귀포시 법환동,제주당,860516838,http://t1.daumcdn.net/place/CC99E821D6B34EFE9D388A3891D2AD37,0.0
171,3004-1,제주특별자치도 제주시 한경면 저지리,큐타초코,501601035,http://t1.daumcdn.net/localfiy/FB2DE9D727964A26AD74EAEE9F1579C3,0.0
172,231,제주특별자치도 서귀포시 성산읍 오조리,블랑드오조,1148534678,,0.0
173,371-1,제주특별자치도 제주시 이호일동,인그리드,769399654,http://t1.daumcdn.net/localfiy/59DA79DE4C6E47868AB9B50E127EF527,0.0
174,1554-4,제주특별자치도 서귀포시 동홍동,개다방,652229727,http://t1.daumcdn.net/place/FBE72978C4584942ABF1F782B89054E9,0.0
175,2681-29,제주특별자치도 제주시 용담이동,모찌롱,1050221982,http://t1.daumcdn.net/place/A3001EE1AD9D4C9BB9E4E162C9BAA24C,0.0
176,248-5,제주특별자치도 제주시 용담1동,부띠크아바,648061721,http://t1.daumcdn.net/localfiy/1229DFB3FEBB4AC4A4CBD850FC0412AA,0.0
177,611-2,제주특별자치도 제주시 구좌읍 종달리,종달이야기,320724600,,0.0
178,3794-4,제주특별자치도 제주시 노형동,어컵오브아일랜드,1832729921,http://t1.daumcdn.net/cfile/2774BB3A57AA7D7026,0.0
179,313-80,제주특별자치도 제주시 연동,웰컴,14490553,,0.0
180,917-28,제주특별자치도 제주시 도남동,지오,27563856,http://t1.daumcdn.net/cfile/2478AC3C570C591408,0.0
181,755-2,제주특별자치도 제주시 노형동,쥬씨 제주한라대점,27577933,,0.0
182,304-1,제주특별자치도 제주시 외도이동,부엉이커피팔다,746168512,,0.0
183,2126,제주특별자치도 서귀포시 안덕면 사계리,우짜,1598348098,http://t1.daumcdn.net/localfiy/5E54DB8B0F3C47188A2CED04C9F2E2E9,0.0
184,607,제주특별자치도 제주시 구좌읍 월정리,책다방,187594665,http://t1.daumcdn.net/place/498698E996F74DCFAA34990A4700476C,0.0
185,469,제주특별자치도 제주시 한림읍 옹포리,로즈인제주,950853175,,0.0
186,1565-13,제주특별자치도 제주시 애월읍 곽지리,새콤달콤 애월점,586961257,http://t1.daumcdn.net/place/D721995845C6452C8B00DEE2FA168C50,0.0
187,1188-6,제주특별자치도 제주시 이도2동,카페웨이브,24974178,,0.0
188,3610-4,제주특별자치도 제주시 한경면 고산리,카페다금바리스타,26885624,http://t1.daumcdn.net/place/45C3EBCB17884BF19DF7E56B761B9B6A,0.0
189,1984-10,제주특별자치도 제주시 화북일동,감성커피화북점,1165753785,http://t1.daumcdn.net/place/E1C727AC93D74CC0B242E9950B42A447,0.0
190,1178-1,제주특별자치도 제주시 애월읍 유수암리,더기카페,79350750,,0.0
191,2572,제주특별자치도 서귀포시 성산읍 수산리,리솔라무인카페,19975311,http://t1.daumcdn.net/place/D6B2AEFB5EF449B1894B867311C5A193,0.0
192,1179-9,제주특별자치도 제주시 이도이동,에이바우트커피 시청점,284718590,http://t1.daumcdn.net/place/81F07675A8DD489B86D6C894F8F1E4CA,0.0
193,1418-1,제주특별자치도 서귀포시 안덕면 서광리,한와담제주점 카페펌킨제주점,598824664,,0.0
194,303-1,제주특별자치도 제주시 삼도2동,달밤솔숲에바람지나가는소리,1609450431,,0.0
195,3351-2,제주특별자치도 제주시 구좌읍 평대리,카페 캐로타,261523320,http://t1.daumcdn.net/localfiy/searchregister_1655712619,0.0
196,산 1,제주특별자치도 서귀포시 대정읍 보성리,카페산책,27164221,http://t1.daumcdn.net/cfile/2768363C56AEC77D17,0.0
197,1004-27,제주특별자치도 제주시 조천읍 함덕리,스타벅스 제주함덕점,454445122,http://t1.daumcdn.net/place/9CD68DEC44F242F8B84C2BC480F9B5D8,1.0
198,1194-4,제주특별자치도 서귀포시 표선면 표선리,해비치불턱,17272985,http://t1.daumcdn.net/place/7B01349D5E6047CCB633FA99E49EE225,0.0
199,1669-5,제주특별자치도 제주시 애월읍 곽지리,쉘리비치,20330057,,0.0
200,1071-3,제주특별자치도 제주시 한림읍 협재리,말리가,1220270738,http://t1.daumcdn.net/localfiy/searchregister_1434799546,0.0
201,1054-6,제주특별자치도 제주시 노형동,카페띠아모 제주북노형점,17624223,,1.0
203,1330-2,제주특별자치도 제주시 일도1동,길,17360017,,0.0
204,2424-2,제주특별자치도 서귀포시 표선면 표선리,늘제과점,1540027970,http://t1.daumcdn.net/localfiy/877DA494C47948A4A1A18C557C4160F7,0.0
205,428-1,제주특별자치도 제주시 한경면 조수리,카페그해여름,1985176121,http://t1.daumcdn.net/place/46FA35091EF9461190A674C141671F74,0.0
206,3103-1,제주특별자치도 제주시 오라이동,카페블룸,18392685,,0.0
207,2881-1,제주특별자치도 제주시 한경면 판포리,쓰담쓰담 게스트하우스,20966951,,0.0
208,138-13,제주특별자치도 제주시 애월읍 하귀1리,네꼬야 티하우스,1566433967,http://t1.daumcdn.net/place/E4C86EBD61DD4A12AEEE5650F82AD796,0.0
209,2126-8,제주특별자치도 서귀포시 대정읍 하모리,재클린디저트 모슬포점,27167127,http://t1.daumcdn.net/place/4474E07C21E14B889447BADE8C48233D,0.0
210,129-6,제주특별자치도 제주시 용담1동,테이카웃마씸,27167283,,0.0
211,307-3,제주특별자치도 서귀포시 성산읍 고성리,호수다방,10056433,,0.0
212,1021,제주특별자치도 제주시 애월읍 납읍리,제주의꿈,407565533,,0.0
213,399-46,제주특별자치도 서귀포시 성산읍 성산리,아뽀밍고,2065881844,,0.0
214,1702-4,제주특별자치도 서귀포시 중문동,이정의댁,51590542,http://t1.daumcdn.net/place/0B5C65D9224148B3A1582A3BD88F7DDE,0.0
215,1964-3,제주특별자치도 제주시 연동,감성커피 한라병원점,2064021817,,0.0
216,3796-9,제주특별자치도 제주시 노형동,이너피스,345842015,http://t1.daumcdn.net/localfiy/8420F8D172564222BFCE8B5CE1931E15,0.0
217,1178-3,제주특별자치도 제주시 이도2동,커피팔레트,19499624,http://t1.daumcdn.net/localfiy/283531B8421A462B83C601F6B3DACD8B,0.0
218,33,제주특별자치도 제주시 용담1동,미소다방,9008202,,0.0
219,1029-10,제주특별자치도 서귀포시 대정읍 하모리,기원다방,14522964,,0.0
220,1629-1,제주특별자치도 제주시 애월읍 하귀1리,하귀1629,867356495,http://t1.daumcdn.net/place/C0B9326E61E6429F85097E579FC5DE01,0.0
221,1591-4,제주특별자치도 제주시 한림읍 동명리,동명리공간,756799226,http://t1.daumcdn.net/place/994668A5BAE14601862E066F53A81A04,0.0
222,1084-12,제주특별자치도 제주시 이도이동,델타커피,31532171,,0.0
223,1403-2,제주특별자치도 제주시 이도1동,윤재커피,371491242,http://t1.daumcdn.net/place/C26CDB1CF06E4CA8BBF33BA567EDECBC,0.0
224,85-3,제주특별자치도 제주시 구좌읍 행원리,바당국수카페,1406958574,http://t1.daumcdn.net/localfiy/59BB07167DAE49F4AA1D4294426E9F4C,0.0
225,271-16,제주특별자치도 서귀포시 서귀동,만남카페,434148127,,0.0
226,1705,제주특별자치도 제주시 구좌읍 김녕리,돌코롬허니,27167225,http://t1.daumcdn.net/place/E2A649465C4B4A92951FEFB935DC7B8A,0.0
