,addrbunho,address,cafe,cafe_id,image_url,franchise,si,address1,town,ri,final_address,lat,lng
1873,966-7,제주특별자치도 제주시 조천읍 함덕리,만나요만나,1998428715,,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '함덕리']",조천읍,함덕리,제주특별자치도 제주시 조천읍 함덕리 966-7,33.54036704849389,126.669029559658
3068,1027,제주특별자치도 제주시 구좌읍 종달리,이스트포레스트,30139815,http://t1.daumcdn.net/place/1102BC46AD314272B05E0C8E303F12D1,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '종달리']",구좌읍,종달리,제주특별자치도 제주시 구좌읍 종달리 1027,33.49593314309576,126.89876774952417
306,2025-7,제주특별자치도 제주시 이도2동,레몬칸타타,27608618,http://t1.daumcdn.net/place/A3CD5FFDB5A043AE826BFB35BC369F61,0.0,제주시,"['제주특별자치도', '제주시', '이도2동']",제주시,제주시,제주특별자치도 제주시 이도2동 2025-7,33.48683527538308,126.53571563300515
1144,3813-5,제주특별자치도 제주시 노형동,공차 제주한라대점,1307831887,,1.0,제주시,"['제주특별자치도', '제주시', '노형동']",제주시,제주시,제주특별자치도 제주시 노형동 3813-5,33.47865192338646,126.47504923639697
2380,1995-3,제주특별자치도 제주시 이도2동,테이크썸윌리,380232525,,0.0,제주시,"['제주특별자치도', '제주시', '이도2동']",제주시,제주시,제주특별자치도 제주시 이도2동 1995-3,33.49154034414023,126.53730889845413
2333,2250-6,제주특별자치도 제주시 조천읍 대흘리,구름언덕,20906398,http://t1.daumcdn.net/place/879F11E581CF46719C75B710AEF9A790,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '대흘리']",조천읍,대흘리,제주특별자치도 제주시 조천읍 대흘리 2250-6,33.49841904708427,126.65501438435598
909,3149-33,제주특별자치도 서귀포시 표선면 가시리,조랑말체험공원 마음카페,24879322,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '표선면', '가시리']",표선면,가시리,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.38319400319738,126.73597939060721
2202,36,제주특별자치도 제주시 우도면 연평리,굿모닝카페,1222953050,,0.0,제주시,"['제주특별자치도', '제주시', '우도면', '연평리']",우도면,연평리,제주특별자치도 제주시 우도면 연평리 36,33.51282224281168,126.96470088461976
1216,1310-1,제주특별자치도 서귀포시 호근동,여섯번의보름,1675972774,http://t1.daumcdn.net/localfiy/searchregister_1715000296,0.0,서귀포시,"['제주특별자치도', '서귀포시', '호근동']",서귀포시,서귀포시,제주특별자치도 서귀포시 호근동 1310-1,33.256936726570615,126.53035476019116
2707,1186-3,제주특별자치도 제주시 이도2동,아멩이나,20032311,,0.0,제주시,"['제주특별자치도', '제주시', '이도2동']",제주시,제주시,제주특별자치도 제주시 이도2동 1186-3,33.497752782758816,126.5302423107061
2273,884-1,제주특별자치도 제주시 구좌읍 종달리,바다는안보여요,23571929,http://t1.daumcdn.net/place/55B18650857541ACA076D309F66E7BEA,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '종달리']",구좌읍,종달리,제주특별자치도 제주시 구좌읍 종달리 884-1,33.493391153169576,126.89942496600784
3055,1276-26,제주특별자치도 제주시 일도일동,담그멍족욕카페,115388983,http://t1.daumcdn.net/localfiy/578C329E9937468BAB8B33FF3EFF09EA,0.0,제주시,"['제주특별자치도', '제주시', '일도일동']",제주시,제주시,제주특별자치도 제주시 일도일동 1276-26,33.51522007695961,126.52688877352205
880,133-1,제주특별자치도 서귀포시 대정읍 상모리,망고레이 송악산점,26948116,http://t1.daumcdn.net/place/F1C29F69139A4159B42396B48ED84D7F,0.0,서귀포시,"['제주특별자치도', '서귀포시', '대정읍', '상모리']",대정읍,상모리,제주특별자치도 서귀포시 대정읍 상모리 133-1,33.20720493581545,126.29030179341338
1173,152,제주특별자치도 서귀포시 하효동,카페더불어,1191127342,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '하효동']",서귀포시,서귀포시,제주특별자치도 서귀포시 하효동 152,33.26350113213734,126.61557811578685
