,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,addrbunho,address,cafe,cafe_id,image_url
2856,29.0,,,989-2,제주특별자치도 제주시 애월읍 신엄리,제주바다다,814472338,http://t1.daumcdn.net/place/76F81F908EEA4A1B8CC98047515DF05B
2857,30.0,,,300-18,제주특별자치도 서귀포시 서귀동,럭셔리pc카페,321470880,
2858,31.0,,,1397-1,제주특별자치도 제주시 건입동,더스카이,11096340,http://t1.daumcdn.net/place/986A39FF942246FD87FC6871BDDA5114
2860,33.0,,,273-7,제주특별자치도 제주시 연동,놀숲 신제주점,163800109,http://t1.daumcdn.net/place/2FF9191986A24A6DA7625DEE2E55E18A
2861,34.0,,,1339,제주특별자치도 서귀포시 강정동,사랑이머무는카페,1041387920,
2862,35.0,,,777-5,제주특별자치도 서귀포시 안덕면 창천리,대평에오면,23688005,http://t1.daumcdn.net/place/6EE7EF56777942E2A373D59A145F9B14
2863,36.0,,,873-1,제주특별자치도 서귀포시 대정읍 하모리,장미다방,10726823,
2864,37.0,,,1665-1,제주특별자치도 제주시 이호일동,카페이호동,1362051346,http://t1.daumcdn.net/localfiy/searchregister_1356285136
2866,39.0,,,476,제주특별자치도 제주시 조천읍 교래리,더로맨틱 내생에가장아름다운날들,1351854455,http://t1.daumcdn.net/place/D9F6AD5520B44A34A1E93F4BC18AF16A
2867,40.0,,,1590-3,제주특별자치도 제주시 용담이동,공항가는길,1308516268,
2868,41.0,,,1035-4,제주특별자치도 제주시 일도2동,마빈,644907230,
2869,42.0,,,1280-1,제주특별자치도 제주시 노형동,섬타르,1207320787,http://t1.daumcdn.net/localfiy/searchregister_1249336467
2871,44.0,,,505-4,제주특별자치도 제주시 외도일동,악단,335320170,
2872,45.0,,,1252-55,제주특별자치도 제주시 조천읍 함덕리,오션그랜드호텔커피숍,21464856,
2873,46.0,,,1004,제주특별자치도 서귀포시 대정읍 구억리,1004카페,2040765880,http://t1.daumcdn.net/place/8CD9A3964D874126BF96FF99D4159DD6
2875,48.0,,,1369,제주특별자치도 서귀포시 상효동,카페다락,1874799654,
2877,50.0,,,981,제주특별자치도 서귀포시 안덕면 사계리,커피하우스,25408323,
2878,51.0,,,1113-3,제주특별자치도 서귀포시 성산읍 고성리,천사카페,109815908,
2879,52.0,,,365-13,제주특별자치도 제주시 일도2동,커피애,11649322,http://t1.daumcdn.net/cfile/19186B4A51480D6F12
2880,53.0,,,179-4,제주특별자치도 서귀포시 남원읍 남원리,롹커카페,1914045683,http://t1.daumcdn.net/localfiy/searchregister_2037352154
2881,54.0,,,2615-5,제주특별자치도 제주시 노형동,빽다방 제주노형뜨란채점,27222177,
2882,55.0,,,산 24,제주특별자치도 서귀포시 안덕면 서광리,제주신화월드 풀사이드카페,1776764094,
