,0
999,376678708
1000,818833728
1001,557376936
1002,1685775994
1003,20399392
1004,615161662
1005,1425458877
1006,27588072
1007,18629995
1008,24119100
1009,1224078578
1010,1558798896
1011,2008653310
1012,9569142
1013,2080549056
1014,571719196
1015,9497457
1016,51519471
1017,854060857
1018,10577603
1019,8535503
1020,739605782
1021,419491158
1022,947810595
1023,124669851
1024,1766276489
1025,27602129
1026,1849446475
1027,1404318388
1028,27598048
1029,21455106
1030,23767809
1031,26392726
1032,1576496922
1033,183413796
1034,952437229
1035,165691434
1036,8946313
1037,26303937
1038,914471105
1039,818988612
1040,24347321
1041,970092472
1042,174083149
1043,1980286350
1044,74016760
1045,2118322249
1046,1215049154
1047,822442071
1048,12135268
1049,587340308
1050,1649148676
1051,24812797
1052,893435448
1053,24926480
1054,9412093
1055,9564207
1056,1669901791
1057,1365000504
1058,1152497778
1059,15949144
1060,26894210
1061,823443118
1062,26102947
1063,21525863
1064,734323672
1065,233743673
1066,26503795
1067,12972704
1068,490092802
1069,1304962850
1070,19975311
1071,1337451103
1072,1237921573
1073,315193014
1074,104916076
1075,20195444
1076,903911822
1077,24894271
1078,171496020
1079,321976849
1080,2006395951
1081,21469423
1082,1834542575
1083,400641476
1084,19622998
1085,718874668
1086,196225418
1087,26611921
1088,1544172456
1089,647149044
1090,32361752
1091,1380526023
1092,1550146274
1093,61083430
1094,905387561
1095,413368800
1096,2076762809
1097,21501817
1098,2066122038
1099,1538698904
1100,582739382
1101,1983315941
1102,908753935
1103,1493300746
1104,1938789532
1105,1044241358
1106,1093583021
1107,1915903142
1108,1883569834
1109,670261797
1110,1417581558
1111,1943501358
1112,2060250179
1113,1222953050
1114,1304505019
1115,2007964275
1116,1233330231
1117,2003360746
1118,9901772
1119,21522585
1120,1569358885
1121,523240571
1122,15460186
1123,21466326
1124,1641273453
1125,839094938
1126,1025492597
1127,220412132
1128,2074427441
1129,387005914
1130,501338313
1131,1307401167
1132,969382627
1133,1819343618
1134,19048074
1135,1562320098
1136,2108983746
1137,1451476954
1138,1523413414
1139,27446173
1140,652229727
1141,1566841942
1142,1136711435
1143,26969310
1144,26841590
1145,746168512
1146,1916449850
1147,79350750
1148,1717454947
1149,14079983
1150,566806168
1151,100283755
1152,26336425
1153,486784904
1154,1245522501
1155,27401717
1156,15554662
1157,1043811001
1158,892567182
1159,108198315
1160,1551305286
1161,21307939
1162,275236503
1163,20126884
1164,564051628
1165,21353784
1166,713222734
1167,1912888539
1168,290382977
1169,9463567
1170,2133098456
1171,27598055
1172,654606271
1173,639029672
1174,354410266
1175,1571910152
1176,1844364223
1177,26472012
1178,328782649
1179,8558014
1180,1877134847
1181,775745381
1182,24709681
1183,1363724318
1184,26942052
1185,21302639
1186,292772848
1187,1372265134
1188,17101568
1189,21299255
1190,1778985786
1191,20281849
1192,21800445
1193,1668069119
1194,322555256
1195,284916087
1196,23309877
1197,2117416011
1198,437916891
1199,1191877780
1200,15954117
1201,17880473
1202,2129881514
1203,27292324
1204,807371912
1205,27385961
1206,9406746
1207,1443975060
1208,23933670
1209,483731623
1210,592737677
1211,26852530
1212,496967824
1213,1782977249
1214,26973747
1215,21910957
1216,1170785054
1217,1844211343
1218,1556178949
1219,15894512
1220,809248605
1221,742135928
1222,9958751
1223,1995458758
1224,284978
1225,247162336
1226,1602152285
1227,13577527
1228,834666065
1229,1609450431
1230,19237965
1231,1639202515
1232,10328679
1233,1664067453
1234,21528934
1235,1299531543
1236,21500464
1237,544218596
1238,26792996
1239,26094495
1240,835064434
1241,1922855572
1242,269153185
1243,1604142577
1244,495431882
1245,969286213
1246,1172906738
1247,1382011189
1248,845490784
1249,1443596351
1250,215572222
1251,142212781
1252,1641274343
1253,526568146
1254,1336709030
1255,1680422322
1256,98084239
1257,23396553
1258,1525465944
1259,910143396
1260,26884074
1261,1641449064
1262,552093138
1263,1358103055
1264,20199015
1265,1328808785
1266,1632912716
1267,23584976
1268,1839104258
1269,1537287969
1270,1699819473
1271,24351128
1272,414395112
1273,1360737185
1274,25733247
1275,418652493
1276,652742008
1277,18480600
1278,27029887
1279,1202641851
1280,221879692
1281,96994119
1282,1176332551
1283,1176884672
1284,16699906
1285,966134287
1286,614072112
1287,214562349
1288,1250970494
1289,1985306608
1290,9323646
1291,1560931776
1292,2083642598
1293,1447821842
1294,1892181316
1295,450395323
1296,1540027970
1297,440151517
1298,37915239
1299,25115010
1300,1305206409
1301,1596466852
1302,1456765484
1303,21489585
1304,1752392764
1305,625955930
1306,1928307697
1307,19637598
1308,953331000
1309,1785500578
1310,179303531
1311,27265307
1312,524114614
1313,1392519675
1314,161861462
1315,1791921485
1316,1764994175
1317,21542799
1318,654674753
1319,1216416117
1320,522395014
1321,202549752
1322,1844162926
1323,1493416846
1324,1149622752
1325,12629614
1326,750431959
1327,25015448
1328,1161534637
1329,469786239
1330,1105114080
1331,368403967
1332,11619843
1333,1566433967
1334,625609046
1335,1425955692
1336,1013067175
1337,25922832
1338,1529120192
1339,1515077439
1340,1702038880
1341,1337042932
1342,1138154447
1343,22284064
1344,1388393763
1345,1202422954
1346,1727228138
1347,1987232437
1348,16833436
1349,613489950
1350,529445079
1351,25068645
1352,10370769
1353,26453253
1354,9452994
1355,15242729
1356,655909706
1357,1637085501
1358,1459499218
1359,1390011514
1360,15597070
1361,18722453
1362,306544936
1363,2144604088
1364,1585655885
1365,1629036985
1366,1947663934
1367,1453676427
1368,795878887
1369,749278855
1370,22513555
1371,1574963073
1372,15264554
1373,365122787
1374,1571310600
1375,21515620
1376,1146670427
1377,640048903
1378,27089875
1379,1234666141
1380,1714705343
1381,1131993961
1382,27491731
1383,166612667
1384,586961257
1385,780042001
1386,1637545673
1387,1436757802
1388,2041432492
1389,1543843449
1390,309701322
1391,408123283
1392,10205092
1393,27239818
1394,1700625289
1395,25589988
1396,24450561
1397,26810675
1398,592514835
1399,588738669
1400,1260410910
1401,981451981
1402,25919683
1403,1251901057
1404,1520974413
1405,27111830
1406,23949373
1407,978510513
1408,1855543470
1409,1923266961
1410,1021606300
1411,871881759
1412,9729596
1413,1540300848
1414,27169548
1415,611667902
1416,573133854
1417,1701458616
1418,799834546
1419,917328798
1420,13616943
1421,300558593
1422,100179467
1423,1809400616
1424,1881290367
1425,41541163
1426,609715748
1427,17086100
1428,21489397
1429,186143763
1430,9282158
1431,716819540
1432,45616760
1433,850912071
1434,970358788
1435,187594665
1436,12723996
1437,1893552073
1438,114827799
1439,1590878625
1440,1322876007
1441,24561272
1442,1998428715
1443,723636395
1444,738625487
1445,1134224386
1446,26826910
1447,337455511
1448,1502206846
1449,8797849
1450,336197952
1451,24484981
1452,405561254
1453,1219642174
1454,26453267
1455,1109621404
1456,155108520
1457,23066705
1458,808885837
1459,531894376
1460,1313144249
1461,10204906
1462,26777395
1463,565617348
1464,1639162530
1465,1335585931
1466,1266869677
1467,1721154114
1468,1066023028
1469,2048154566
1470,822430232
1471,1384248316
1472,1743157322
1473,417487283
1474,17518141
1475,1668885826
1476,785315319
1477,851584544
1478,19523996
1479,922031961
1480,845460888
1481,1191469287
1482,1005222436
1483,27089912
1484,2097029740
1485,391060169
1486,1396553592
1487,1355002877
1488,1444670514
1489,20245499
1490,1842038586
1491,24877763
1492,1965101136
1493,859869387
1494,11168406
1495,26919759
1496,27164221
1497,914906312
1498,1050192955
1499,18437400
1500,597033503
1501,815139570
1502,397550442
1503,606287042
1504,1716691997
1505,819891458
1506,280856908
1507,1970506705
1508,203008166
1509,1196564122
1510,1795134031
1511,579829263
1512,1604209667
1513,1039947224
1514,1570250119
1515,1315063856
1516,919778398
1517,1231971889
1518,26491535
1519,828971322
1520,21477321
1521,24120254
1522,814024450
1523,19048342
1524,1820359262
1525,198128819
1526,1121715323
1527,23900952
1528,1826717062
1529,1066557332
1530,24662358
1531,627484248
1532,20126145
1533,25463707
1534,1852818326
1535,21513011
1536,702688492
1537,1572291358
1538,952727735
1539,788872329
1540,1927773763
1541,25050406
1542,1587149484
1543,26792268
1544,27464469
1545,8249482
1546,21580659
1547,1030102321
1548,443765682
1549,9008202
1550,1879913674
1551,1189580902
1552,27464029
1553,431955303
1554,24628316
1555,355419099
1556,1195312058
1557,608502314
1558,770545912
1559,604757802
1560,682897228
1561,27549454
1562,884276488
1563,1500989680
1564,24353090
1565,1952083708
1566,1319147361
1567,884907943
1568,1464121620
1569,2104119400
1570,894217640
1571,20621576
1572,727768810
1573,1202180944
1574,356575987
1575,1003992664
1576,19331827
1577,1553958207
1578,25574092
1579,898585862
1580,1694795313
1581,862316721
1582,1761234271
1583,148780844
1584,778794593
1585,1955479566
1586,21480967
1587,407565533
1588,1206631846
1589,27375622
1590,38519118
1591,1796711727
1592,1805030433
1593,508485455
1594,24266478
1595,645692816
1596,1794837189
1597,21480873
1598,1225009208
1599,1401542278
1600,15254968
1601,14974263
1602,18775659
1603,1103603819
1604,677411887
1605,771627510
1606,19083827
1607,299559976
1608,1252646650
1609,1176176541
1610,27237634
1611,1804590593
1612,20966951
1613,1006007716
1614,1458294164
1615,27237081
1616,1699259149
1617,955977012
1618,2039811828
1619,24710559
1620,162122149
1621,1076949402
1622,20635890
1623,22018778
1624,27264016
1625,622410128
1626,1778264062
1627,1601690729
1628,2086134863
1629,953526560
1630,19126076
1631,1992606191
1632,2138887740
1633,95325418
1634,1309802012
1635,1874740851
1636,27485828
1637,948241185
1638,83691382
1639,23193541
1640,1744813827
1641,27445248
1642,484585365
1643,24728892
1644,27335460
1645,26854693
1646,1547960522
1647,1658038483
1648,24873832
1649,261523320
1650,131220485
1651,27391585
1652,1494110869
1653,1191128222
1654,26866439
1655,1059256425
1656,711594291
1657,999989618
1658,1091874655
1659,1609166877
1660,1351952768
1661,1542447692
1662,1575289135
1663,21499815
1664,21497912
1665,986232032
1666,1972077690
1667,24407207
1668,262900404
1669,1524377191
1670,2061851154
1671,27445744
1672,1888951831
1673,1968123728
1674,1157356606
1675,1521389763
1676,1134184953
1677,6325127
1678,1338492632
1679,27236979
1680,1935870446
1681,24925007
1682,1502880648
1683,1701559897
1684,72822449
1685,141199343
1686,45532004
1687,17350387
1688,27517565
1689,8225315
1690,475813760
1691,1778286667
1692,24983104
1693,8899585
1694,1587636406
1695,26884719
1696,18767669
1697,1838291163
1698,32245485
1699,1066302555
1700,392583573
1701,830081272
1702,251816842
1703,12020471
1704,2117009564
1705,665658434
1706,26938486
1707,355269360
1708,1171003023
1709,1348684683
1710,285528226
1711,697235821
1712,939740355
1713,1770157322
1714,164638813
1715,1923151662
1716,1525524763
1717,192759249
1718,1995771772
1719,767876049
1720,1130988432
1721,1875081207
1722,1499283160
1723,1863718416
1724,99092488
1725,26613647
1726,1013835521
1727,1611754279
1728,2128776949
1729,166846769
1730,1435079685
1731,402420180
1732,1457384220
1733,16260070
1734,9275439
1735,1231839859
1736,1614189965
1737,1208782451
1738,21467708
1739,1064130599
1740,21683126
1741,1689160633
1742,794929779
1743,17653387
1744,214550777
1745,708892179
1746,2030116210
1747,243597442
1748,10056433
1749,117707838
1750,2069872093
1751,20290778
1752,405890910
1753,1622846474
1754,21473781
1755,13562902
1756,362896153
1757,1948962752
1758,1601783533
1759,1053673971
1760,9510988
1761,1392003842
1762,1680620410
1763,863864368
1764,450635424
1765,11214924
1766,1524395459
1767,1355280803
1768,26926093
1769,1024104421
1770,990338690
1771,363250260
1772,1450044291
1773,25157436
1774,1564529908
1775,1216705871
1776,26885624
1777,473251354
1778,24529553
1779,1664012464
1780,1423743525
1781,1244234773
1782,20457359
1783,1050137537
1784,1070939284
1785,159833969
1786,915825806
1787,18143017
1788,1867906481
1789,1894599836
1790,539274828
1791,26885582
1792,1406958574
1793,21543202
1794,2083166873
1795,27455410
1796,503035232
1797,1208953462
1798,1571948116
1799,1556209480
1800,9456055
1801,13114417
1802,1189207447
1803,16261343
1804,619039691
1805,27167283
1806,992379624
1807,162895806
1808,27075901
1809,58787070
1810,1357049944
1811,17560307
1812,26900356
1813,20991463
1814,1945525281
1815,1028238972
1816,806827154
1817,562609054
1818,1735338702
1819,1392030698
1820,1817863662
1821,20621853
1822,1775357570
1823,592590141
1824,26526322
1825,811454849
1826,1247098851
1827,27508442
1828,27349852
1829,17884787
1830,26626980
1831,1705505338
1832,966859018
1833,21470764
1834,1390119092
1835,1087979655
1836,27441205
1837,19274823
1838,2097901839
1839,10375533
1840,24728702
1841,11082627
1842,23634647
1843,480010152
1844,14612399
1845,191738317
1846,781815500
1847,27126169
1848,24371542
1849,1914065555
1850,317102094
1851,19452193
1852,14608191
1853,20136110
