,name,address,latitude,longitude
119,김녕해수욕장,제주특별자치도 제주시 구좌읍 김녕리 4330,33.557926,126.75998
120,김녕해수욕장야영장,제주특별자치도 제주시 구좌읍 김녕리 497-4,33.55699,126.7602
121,김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,33.55654,126.7603
122,김만덕객주,제주특별자치도 제주시 건입동 984-41,33.5164883,126.5322757
123,김만덕기념관,제주특별자치도 제주시 건입동 1164,33.5157,126.53032
124,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달리 437-5,33.372063,126.85418
125,김영수도서관,제주특별자치도 제주시 삼도이동 17-3,33.5149598,126.52170419999993
126,까끄래기오름,제주시 조천읍 교래리 128,33.4276176,126.66658030000008
127,까망고띠,제주특별자치도 제주시 조천읍 선흘리 2040-1,33.4848623,126.7001912
128,꽃썸,제주특별자치도 서귀포시 안덕면 동광리 950-3,33.309093,126.339615
129,나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,33.956413,126.29398
130,낙선동 4.3,제주특별자치도 제주시 조천읍 선흘리 2734-5,33.480583,126.709526
131,낙천리아홉굿의자마을,제주특별자치도 제주시 한경면 낙천리 1916,33.32757,126.22681
132,낙타트래킹,제주특별자치도 서귀포시 표선면 성읍리 2684,33.40256,126.77849
133,남내소,제주특별자치도 서귀포시 남원읍 하례리,33.3420367,126.5884214
134,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,33.479195,126.35852
135,남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,33.24656,126.276405
136,남수각 하늘길 벽화거리,제주특별자치도 제주시 일도1동 1100-12,33.5114291,126.5278268
137,남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 위미리 1662-1,33.274857,126.6695033
138,남원종합경기장,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.278313,126.70406
139,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.27338,126.70375
140,납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,33.432728,126.33036
141,내창트레킹,제주특별자치도 서귀포시 남원읍 하례리 677,33.3420367,126.5884214
