,cafe,message
32,간이옥돔역,"괜찮아요!! 맑은날 가면 좋지만 야외 테이블은 몇개 없으니 시간 맞춰 가면 좋을것 같아요날씨 좋은날 밖에 있긴 괜찮은데 커피맛은 기대하지말고 가세요지슬감자탕 정말 맛있고 양도넉넉함직원분들 제발 웃으면서 일합시다..평일이고 바람이 엄청 많이 부는 날이기는 했는데 6시쯤 갔더니 마감했다네요 꼭 가실분들은 가기전에 전화통화하고 가시길.분위기도 좋고 음식도 좋았어용해안도로  드라이브  중 발견 한  곳  사진 촬영 최적  장소.해안도로에서 찾은 사진찍기 좋은곳예쁘긴 하지만 귤(?)주스 노맛... 진심.....
예쁘긴합니당... 약간...인스타용.?오직 이곳에서만 맛볼수 있는 옥돔김밥 최고~~^^까페앞 슬픈등대는 꼭 가보시길~~"
33,갈라,동네 아줌마들 집합소.. 시끄럽고 커피맛은 최악가볼만한곳맑은날 테라스에서 먹는 샌드위치가 아주 일품~~분위기 짱ㅇ클럽샌드위치  쵝오!큰길 안쪽에 있어서 눈에 잘 안띄긴 하지만 이도동에서 커피는 여기가 젤 맛있음.
34,갈치카페,"Generous range of side dishes for solo diner (really tasty too) and focus is on seafood. Grilled abalone was expensive at ₩40,000 for 9 pieces, but delicious. So was the sea urchin seaweed soup. The famous hairtail fish was only included in set menus for more than 2 persons so come on a large group if you'd like to try that. After paying, show your receipt at the caf&eacute; on ground floor for a free Americano coffee. Parking is available and free just outside restaurant. I would come back again!식사하시면.커피는.서비스..커피숕이아니고  기념품가게 한쪽 구석갈치빵이랑 갈치파이 두가지가 주요메뉴라고 할수 있는데, 일단 이름에서 상상되는 생선비린내 이런건 전혀 없음

반죽에 갈치를 살짝 갈아서 넣고, 가쓰오부시처럼 갈치 말린조각? 을 넣는 것임

일단 바로 구워서 만들어주시는거라 굉장히 신선한 빵 맛임.  근데 개성적인 맛이라고 해야할지는 모르겠음. "
35,감성카페심지,미대 누나가 커피 뽑는 감성 쩌는 카페
36,감성커피 제주삼화점,"아이스라떼 강추입니다.
주말마다 드라이브갈때 테이크아웃 하기세 완전 좋아요.
맛이좋은 가성비 최고인 장소신제주에 있는 감성커피는 맛이 없어요ㅠㅠ  메뉴에따라 다르긴하겠지만,,,  전국에 몇십개씩 오픈하지만 마시고  제발 음료 맛의 품질관리해주세요ㅜ"
37,감성커피화북점,"사장님도 친절하시고 음료도 맛있어요사장님이 있을땐 별 넷
알바가 있을땐 별 둘
 
커피맛이 복불복이라서 앞으로 가긴 힘들겠네요 ㅠ
사장님이 내려주는 커피 좋아했었는데 ㅠ"
38,감성팥쥐,"정말 가고싶다!맛인!!  팥은따로빼기!홈메이드 빙수 카페, 감성팥쥐

대표메뉴
팥쥐빙수, 녹차빙수, 흑임자빙수"
39,감저,"사진 찍을 곳도 많고 실내도 이뻐서 와이프님이 좋아하네요. 아직 오픈한지 많이 안돼서인지 한적해서 더 좋아요. 매력적인 분위기에 있는 동안 제에게 집중할 수 있는 장소!

옛공장 자리에 감각적인 공간이  넘 멋지네요.

제주도에서도 독특한 매력이 뿜뿜

갤러리도  꼭 들러봐야해요.

수제 팥빙수가 넘 맛있어요

산방산 보러 왔다가 핫플레이스 발견

직접 만드신 팥과 고구마아이스크림이 올려진 수제  옛날팥빙수 맛이 깔끔하고 달지 않아 맛있어요
사장님 좋으시고 친절하세요 
카페분위기가 운치있어요느낌좋음산방산 근처에 있는데요..
인테리어도 독특해서 사진도 잘찍혀요!
수제 팥빙수 추천합니다~이색적이고 여유롭고 잔잔한 분위기 원하시면 강추~커피맛도 좋아요^^  나만알고싶은집....카페가 독특하고 옜날 개성 이 있어 최고의 카페에요!팥빙수를 먹었는데 빙수팥과 들어가는 쑥떡도 직접 만드셨고, 블루배리 요거트도 직접 만드신것. 같아요 분위기 도 짱이에요 딱 저희가 찾던곳 . 행복
영감을 주는 인테리어욕심을 비우면서 여유를 찾는 곳.
창문으로 넘어오는 햇살이 지극히 자연스러운 곳.
그렇게 괜찮은 곳. 잘 쉬다 갑니다.^^
 평화롭다 아무생각없이 푹쉬다가는 느낌지역의 옛 구조물을 그대로 활용한 컵셉이 너무 좋고
공간도 여유로워 차 한잔하며 쉬다 오기 좋네요.콘셉트와 여유로움이 좋습니다.^^노래선곡이..최악이였다는 리뷰글이 정말이네요..차라리 노래를 꺼주세요ㅠ 좋은 공간를 이렇게밖에 활용 못해서 아쉬울 정도예요..The most beautiful coffee shop I&rsquo;ve ever been to! Such a creative, inspiring setting. My first visit and I&rsquo;m having a fresh lemonade. Delicious!전분공장 개조 카페 사진 전시실이 별도로 있어 좋음"
40,개판오분전,와우. 대형견 전용 애견까페샵. 좋으네요. 대형견 전문이라 소형견은 입장이안되지만 대형견에게는 최고네요. 참고로 사람 아이들은 입장이 안되는듯 합니다
41,갤러리앤카페더몹시,"분위기 너무좋고 경치너무좋아요 
커피숍찾다가 우연히 마주친몹시
 몹시맘에들어요~블랙 치아바타 샌드위치 진짜맛있어요! 회사 앞에 있으면 일주일에 한번정도는 가서 점심으로 먹고싶네요 흑흑Mobsi 몹씨~
단어가 몹시 맘에 들어서 들어갔는데 뷰도, 커피도,
그리고 언니도 몹시 이쁩니다.
바리스타님.. 샷 추가 무한(5) 해주셔서 감사했어요~^^"
