,cafe,message
566,빠빠라기 신제주점,"요거트빙수 취저입니다ㅜ 존맛탱여름에 보냉포장 없는게 큰 마이너스
순수팥빙수 소자 12.000원 포장 사진이고요.
기본 토핑은 팥, 떡 조금과 후레이크 많이 함께 포장해줘요.
얼음에 연유가 군데군데 같이 갈려있고 거운데 바닐라아이스크림 작은게 있어요.
가성비 나쁜 빙수고 돈 아까워서 그냥 먹었어요.....
떡만 토핑으로 달라는게 나아요.
작은 사이즈 만들어 파시면 좋겠다 건의했으나 얼음크기땜에 안된다시는데 4인분 양이에요.
얼음빙수 소자는 포장 안된다해서 이거 구매했어요.
장점 : 가격 맛 양 종류 탁월
단점 : 낡은 인테리어. 화장실 좁고 더러움
           성수기에 손님 넘 많아 대기함빵도 맛있고 커피도 맛있었어요~ ^^&제주 시청점팥빙수 먹는곳양이 많아서 학생들이 많이 가는 곳~양도 많고 얼음 굵기도 정할수있구 입맛에 안맞으면 다시 해줘서 너무 조은거같아요,,>▽<,,요거트빙슈슈슈 굳빠빠라기 개굿초코빙수도 맛있고 녹차빙수도 맛있고 에어컨도 완전 시원빵빵하게 틀어줌
빙수 먹다 얼어죽을뻔 빙수양도 짱짱많음빙수!으악역시 빙수는 빠빠라기!빙슈ㅎㅎ팥빙수시청과 더불어 팥빙수 정말 맛있는 곳..ㅋ 2층에 있지만 사람은 많아요~푸짐한 팥빙수가 유명한 곳이죠~ ^^빙수가 푸짐해서 좋아요..그리고 토스트 주문해서 생크림에 발라먹는것도 맛있어요!여름엔 빠빠라기 빙수가 쵝오임~ 전 팥을 별루 안 좋아하는데 여기 팥은 맛나요 ^^녹차빙수도 맛있어요.. 여름엔 사람들 빠글빠글 ㅋ 여름에 사람들이 바글바글~ 팥빙수의 매력에 빠져봅시당~ 팥빙수 먹으러 아주 가끔 갑니다~ 괜찮았어요^^여기도 팥빙수 유명하고요..&#40;그냥 보통 팥빙수-떡과 과일, 팥들어간..&#41; 근데 정말 싫었던게 담배 피우는 사람이 있더군요..환기도 잘 안되는데.."
567,빵굽는카페라블,"3층까지 있어요. 통유리 뷰가 참 예뻐요. 다만 아메리카노는 맛있었는데 치즈케이크가 가격대비 별로예요T_T
Third floor cafe. The view is amazing. We enjoyed Americano, but cheesecake is not worth the price.너무 이쁜 월정리 해변 뷰와 함께 먹는
한라봉 크로와상 맛잇어요  !! 한라봉라떼 최악. 다시는 ㅋㅋ..빵 비싼데 맛이 없음. 뷰는 좋음. "
568,빵인,"너무 좋아요 가격도 착하고 너무 맛있고&hearts;&hearts;
전 좋아요 쉬는날 항상 가요"
569,빽다방 제주대정문점,요거트스무디 너무 묽게타요... 그냥 빽다방
570,빽다방 제주대학로점,"빽다방은 어디든 무난한든 해요양많고 가격대비 좋다
다만 익숙한 맛들이라는점?"
571,빽다방 제주삼화부영점,남자직원분 너무 친절하게 응대 잘해주셔서 너무 좋았어요~~ 최고~!!!! 기분좋게 잘마시구 갑니당
572,빽다방 제주서귀포시청점,북타임 서점과 연계되어있고 문화공간도 즐길 수 있습니다.네 가격도싸고 커피도 맛있었어요
573,빽다방 제주성산일출봉점,"직원분 엄청 친절하시다. 체인점이라 익숙해서 좋았다. 내부도 깔끔하고 넓다관광지 체인은 틀리지는 않타성산일출봉 주자창 앞에 위치한 빽다방  저는 소프트 아이스크림  와이프는 카라멜라떼  

시원하고 꼭 다녀가야할집이네요  친절하고 설명도 자세히해주시고 제주도 여행의 기쁨이 배가되었습니다.비오는날 아메리카노 마시려고 갔더니 비도 너무 많이 와서 추스리고 시키려는데 빨리안시킨다고 눈치주고 음료 빨리 안가져간다고 , 처음 간 빽다방이였는데 매우매으 불친절했슴. 참나"
574,빽다방 제주제원점,주문받으시는 키크신분 친절하셨어요. 깨끗하고 음료도 싸고 맛있어요
575,빽다방 제주중앙여고점,값도 싸고 완전 맛있어요!가격도 맛도 좋은곳입니다.
576,빽다방 탐라도서관점,"친절한데 음료가 너무 맛없음отличное место, а ванильный латте-божестенный, и цена приемлемая.사장인지 나잇대있는 남자 시럽 엄청아낌. 
맛이 옅어 음료맛 보다 맹물맛이라 맛 없음.
아이러니하게 얼음은 안아낌.. 커피  긋~^^직원교육 빵점"
577,빽다방 호텔더본제주점,"빵도 질이 좋은것같고
커피도 맛나요^^
백대표님이 직접 관리하시니 믿고 갑니다^&amp;서울 빽다방보다 맛있음소보로빵 짱직원 불친절의 끝판왕 "
578,뽀루뚜까,"금요일날 영업 안하시면 정보 변경해주세요
헛걸음하지 않게요핸드드립 커피와 쿠키가 정말 맛있는 공~^^이 곳은 자연 스러움이 좋다억지 스럽지 않고 주인의 마음이 곳곳에 배어 있는  느낌이다드립커피 맛도 너무 좋았다거기에 있는 냥이들의 모습도 넘 즈ㅡㅎ았다"
579,뽀르또,"커피  맛있어요. 커피 잘 못드시는분들에게도 어울리는 커피. 아쉽게도  파이를 먹어보지 못했지만 굽는데만 4시간 걸린다는 수제파이가  일품 이랍니다. 지나가다  우연히 찾게된 보물..화,목,토요일만 영업하신다고 함애플크럼파이가 맛있네요. 사장님이 외국분이시라 카페 분위기가 독특해요."
580,뽀요요카페,"맛도 공간도 별로에요.
특히나 가격은 맛에 비해 너무 비싸요.우도라떼아이스랑 한라봉생과일쥬스 

카페에서 잠시 뿔소라아트체험 하고 

참 좋아요😀"
581,뽀요요펜션카페,숙소가 아주깨끗하고 쾌적하다. 
582,쁠랑뜨,good avocado coffee!커피도 맛있고 친절합니다. 제주도립미술관 갔다가 커피 한 잔 하기 좋아요깔끔 건강식~~만족해요~~~
583,사계생활,"우연히 들린 가게. 전혀 커피 파는 곳인줄 몰랐어요.
커피맛 좋구요 볼거리도 많네요.
옥상뷰 추천. 힘들더라도 추천. "
584,사계풍경,"괜찮습니다뷰 좋고.
가격 좋고.
커피 맛도 좋아요.
자리 값이 포함된 것 같은 사악한 커피 가격을 가진 커피숍보단 합리적인 곳입니다.산방산  옆 에있는  사계풍경카페  산고바다가어울리는  
아름다운뷰 가있는곳~~우연히 지나가다 들렀는데 뷰도 좋고 팥빙수도 맛있었어요."
585,사닮과,"케이크 정말 ㅠㅠㅠ 정말 맛있는 곳이에요!! 
친절하신 사장님 부부와 매일 직접 케이크 구우시는데 너무 맛있습니다 !!사닮과가 제주도에 있어 다행이라는 생각을 매번 합니다. 별 다섯 개가 모자라요 ( Ĭ ^ Ĭ ) 맛있어요...오랜만에 갔는데 너무 맛있었어요 !"
586,사랑이머무는카페,"뷰 최고, 음료도 맛나요.
산뜻 따뜻한 실내... 편하고 즐거운 시간"
587,사생활,"커피는 뒷맛이 초콜릿처럼 달콤해서 식은 뒤에도 맛있었고, 밀크티 오리진은 밍밍하지 않고 홍찻잎 맛이 물씬 풍겨서 최고였습니다.
미니멀한 분위기는 일석이조.그냥뭐나쁘지않다 C마셨다 달다
화장실이 깔끔하다
밀크티 장인제주시 구도심 내에 밀크티를 전문적으로 파는곳은 이곳 하나. 분위기도 좋고 일단 밀크티를 정말 정성으로 끓여서 주시는게 가장 인상 적. 딱 한가지 (우바 등) 유명한 맛만 있는게 아니라서 더 좋아용. 어제 신랑이랑도 다녀왔지만 오늘도 방문 예정 ^^ 밀크티 생각날땐? 사생활☺️밀크티 초코민트맛 먹었는데 맛있네요 말차파운드도 그냥 먹어도 맛있고 팥크림이랑 같이 먹어도 맛있어요 ! 조용하고 아늑한 공간이었고 그 분위기를 유지하려고 노력해주신 주인분들이 인상깊었어요 친절함에 특히 좋았어요그냥 그럼
밀크티도 두가지 먹었는데 너무 달기만함맛도 분위기도 그냥그래요밀크티 배 바나나 최고최고!!! 분위기도 너무 좋고 테이크아웃해서 잘 마셨습니다! 추천추천구제주에서 독특한 밀크티, 맛있는 수제 케잌, 정성 가득한 커피를 즐길 수 있는 아담한 카페"
588,산노루,"사람 많아지기전에 또가야겠어요
세작녹차 정말 깔끔하구요 여기에 녹차테린느 같이먹으면 너무좋아요맛!!제주도의 한가함과 사장님의 감각이 만난 곳. 
너무나 조용하고, 감각있고, 말차류 음료도 너무 좋았습니다.
겉멋든 인스타카페가 아닌 내실이 탄탄한 카페인듯제주가 아니라 다른 공간에 있는 느낌이었어요.
평일 낮인데 사람도 많이 없어서 편하게 오래 있을 수 있었어요.
음료들도 다 만족이예요. 테린느도 맛나요.진짜 좋더라 ,, 여기 말차 먹으러 다시 제주가고 싶을정도 ,, 최고입니다. 꼭가세요 두번가세요세작 구입해서 먹었는데 씁쓸한 맛이 없고 순하고 달아서 맛있게 마시고 있어요~병에 들어서 덜기도 편하니 좋아요~"
589,산책,"공정무역, 유기농 ... 이런 단어들의 유의미함을 알게되는 분들이 많아지시길. 커피와 레몬그라스 맛있어요~ 비오는날 풍경이 참 좋습니다바다앞. 주차 바로앞. 커피 보통한적하게 여유로움을 즐기며 쉬었다 갈 수 있어서 좋았던 무인커피숍 산책
우연히 마주친 사장님 왈.. 비슷한 무인커피숍이 몇 개 더 있었으나, 지금은 산책 하나 남았다고 하시네요..
여러가지 어려운 점이 있겠다 생각하였는데, 아니나 다를까 다 마시고 나서 머근잔 설거지 할 때 쯤 들어온 중년 남녀 무리들..
테이크 잔에 커피 받아 나가면서 돈을 넣는 걸 보지 못했다. ㅡ.ㅡ 저런 사람들 때문에 어려운 거구나 싶어 씁쓸한 맘이 들었네요..혼족 여행객에게는 최고의 커피샾
혼자 생각하고 싶은 여행객에는 최고
처음가보는 무인카페~~^^ 바로 옆 쿡이야에서 밥먹고 한숨 돌리려 들렀어요~~ 많은 사람들의 흔적으로 채워진곳.. 정감가네요^^ 고내리에 오면 또 들를게요^^무인카페라서 마음의 안정.. 비지엠이 너무 맘에 들어요. 유기농커피. 공정거래를 통했다고 하는 것도, 바다를 바라보거나, 책을 읽거나, 노래를 듣거나, 뭐든지 즐길수 있어서 좋은 것 같아요. 사람 많은 것보다, 지금 이곳에 혼자 있음에, 처음 보는 사람들과 지나치며 인사를 할수있음에 너무 좋은 것 같아요!!개인적으로 BGM이 맘에들고.. 밝고 깨끗하고.. 책보다가..커피마시다가..음악듣다가..바다한번쳐다보다가..솔직히 커피맛은 so so~ 분위기때문에 자주 찾는 까페임.."
590,산타루치아,"분위기 좋고 라이브가 일단 좋더군요그냥 풍경만 괜찮다고 생각합니다. ^^ 뭐~ 맛은 그럭저럭~!! 이에요.돈까스가 별로 였던 기억이 있네요. 해안도로에 있는 레스토랑 중 맘에 안드는 몇 군데 중 하나!!그냥 일반 돈까스집이 더 생각나는 곳..;;분위기 안 좋으면 한번 가고 안가져요~ 여기도 그런 곳ㅡ,ㅡ;;분위기도 음식도 별루.."
591,산티아고가는길,"브런치세트 맛없어요ㅠㅠ 비싸기만하고뿔뽀덮밥은 맛있게 맵고 감바스는 새우가 튼실하네요. 세트메뉴로 주신 커피도 굿~! 50일간 산티아고길 갔다가 돌아와서 어제부터 영업개시 하신다고...저희는 운이 좋았네요! 
사장님이 아주 친절하세요^^ 여행자 느낌 풀풀 나는 분! "
592,살롱드라방,"재방문했는데 사람이 바뀌건지 엄청 눈치주네요. 맛도 바뀐건지 맛도없고 별로였어요. 무엇보다 말투가 너무 무례했어요. 좋게 말해도 될것을 기분나쁘게 얘기하더라구요. 기본적인 예의가 없는 사람이 왜 카페를 하는지 의문입니다.. 기분좋게 놀러와서 기분이 너무 나빠져서 하루를 버린 느낌입니다. 
다신 안올 건 같네요.너무 별루에요ㅠ 팬케이크도 기성품 같음
앉아있는데 불편했어요. 
마지막일듯요감동받았습니다. 잘 머물고 갑니다.
행복하셔요!그리 오래 있지않았는데 눈치줌,,ㅠㅠ
가게 노래도 좋고 분위기도 좋아서 좀 오래있고 싶엇는데ㅜ두번이나 닫아서 허탕치고 이제야 와봄 (오기가 생겨서) 흐린날 오기도 했지만 전체적으로 어두움 식물이 많아 그런지 날파리가... 테이블 간격이 넓은건 좋은제 비엔나 커피는 기대 이하임 올라간 크림이 좀 느끼함  함께 주는 야채 크래커는 없어도 괜찮을뻔.커피랑 안어울려서 ㅠㅠ 비엔나실패후 시킨 아메리카노는 좋았다 근데 날파리가 너무 많음 나중엔 커피안으로 들어가서 끝까지 못마심시즌한정 베리베리 팬케잌 정말 맛있었고,
조용한 분위기도 좋았어요~!조용한 분위기였는데 애기 든 모습 보자마자 하고있던 커피 계속 타는것도 좀 그렇지만 빈자리도 미리 예약된 자리라고 하는 게 영.. 차라리 노키즈존으로 영업을 하든지. 그 시크한 남자알바인가 표정때문에 갑자기 기분이 나빠져 옆에 CAMINO왔습니다. 시원하고 활기있고 좋네요. 굳이 그런 소품같은거 뭐 특별할것도 없는데 괜히 찾아갔었습니다.
숙소가 근처라면 브런치 먹으러 갈만해요 안에 좌석수가 적고 주차공간이 협소해서 성수기에는 오기 그렇고 비수기에는 딱 좋은것 같아요 12시쯤 왔는데 대기 한팀이 있었고 번호를 남기면 자리가 났을때 연락을 주시네요
팬케잌도 너무 부드럽고 너무 달지 않아 좋아요 차맛도 깔끔하고 좋네요 분위기가 좋아서 잠이 덜깬 브런치로 딱이예요애플팬케익 최고!! Interior Cafe40분 기다려 먹은..정성이 느껴지는 맛그냥저냥팬케익크림치즈 앱슬토핑 팬케익 토,일요일 휴무분위기 좋다제주 애월. 카피샵임시휴업중이에요 갔다가 허탕쳤네팬케익크림치즈애플팬케익이 맛남bb피자, 팬케잌,
특히 뱅쇼는 감기도 낫게 만드는,,,

매우 굿요~팬케익과 얼그레이밀크티 뱅쇼~~~
참 분위기도 좋네요
추천합니다^^제주 카페중 단연최고...👍🏻
순식간에 흡입함 ㅋㅋㅋㅋ예쁘네.분위기
디저트맛
음악까지 마음에 드는집아지트적 느낌 너무 예쁜 카페traveline 추천애월 카페.팬케익진짜 최고네요.  브라우니도 진짜맛나요"
593,삼달다방,YOU! 리틀빅 히어로! 성산일출봉에 휠체어로 갈 수 있다면..! 가기 전부터 꼭 가보구 싶은 곳 찜!^^^^ 주인장님 마인드도 사람도 굿...
594,삼양다방,"음료, 디저트 다 맛있다!
삼양검은모래해변 산책하고 딱 좋은 코스"
595,상효원수목원 카페테리아,알려지지않아 조용함
596,새벽이슬,가볍게 술도 한잔 할 수 있네요 ㅎㅎ 분위기가 편해요돈가스 맛이 좋은것 같아요~~분위기도 좋구요~~
597,새빌,"전체적 지저분오름 가실분이면 다녀와서 드세요. 앞에 새별오름 다녀오면 커피 또 땡기거든요. 외관은 으스스한데 들어가면 밝아요. 
경치 좋음뷰만 좋고 다비쌈, 거기다 직원들은 너무나 불친절
다시는 안감 으뷰는 좋으나 빵값이 너무 비싸요... 그렇다고 빵에서 대단한 특색을 찾을수도 없어요. 비싼 빵값=뷰값 . 자리도 불편해요주변에 여기 밖에 없으니까요. 빵도 커피도 가격은 좀 높지만 맛은 그다지 좋지 않아요. 화장실이나 건물 자체가 넓고 좋지만 정리가 잘 되고 있다는 느낌은 받지 못했어요.의자 테이블... 전부 정리도 안되고... 전망도...이색적입니다. 여긴 꼭 가세요 
빵이 존맛!!! 화장실도 깨큿하고 평화롭게 오름 볼수있고 빵이 개존맛. ..사람 좀 적을때 가서 그런지 조용하고 빵도 맛있고 행복해요~~~ 분위기 빵, 커피 다 좋아요.커피와 빵이 비쌈 뷰는 좋음 
자리가 불편해요 ㅠ새별오름 오르고 출출한 배를 맛있는 빵으로 달랬다커피는 비싸고 맛은 없었고
빵은 나름 괜찮았지만 
거기까지 또 가진 않을것 같은집...
크고 쾌적한게 전부였네요
자리도 다 오픈형이라 불편했어요
왜 핫한지 모르겠는...
음료는 맛있을지 모르겠는데
아메리카노는 좀....빵맛 보통
사이공라떼 그럭저럭
아이스 아메리카노 정말 최악의 맛
탄맛만 엄청나고 제주도에서 카페 수십군데 갔었지만
진짜 탄맛땜에 마실 수가 없는 커피는 처음;;;
돈아깝고 시간도 아까워요좋아하는 홍대 vamboo  빵을 제주도에서 먹을수 있어서 너무 좋네여.. 인테리어도 멋지구오..

분위기도 좋고 빵도 맛있고 넓고 등등 최고~~~커피. 맛이 저가 좋아하는 맛이라 참좋았어요.
새빌라떼는 녹차맛이 강하지만 깊은 맛이 괜찮았는데..
날씨가 흐린 날이라 보이는 경치가 없어서 많이 아쉬웠고요..
바쁘지만 손님에게 친절하게 응대 하시면 참좋을듯해요..
남자 직원 짜증스럽게 응대해서 기분이 기분이 많이 안좋았네요..빵은 맛있어요. 커피는 맛이 별로에요. 오름 풍경보러 왔는데 좌석이 너무 큼직큼직해서 앉기 조금 불편했어요.외관이 으스스해서 지나다닐 때마다 버려진 폐가인 줄 알았던 도민입니다. 들어가보니 정말 대반전..!

**장점**
1. 새별오름을 바라보는 뷰가 정말 끝내줍니다. 안 그래도 예쁜 오름 중 하나인데.. 그걸 바라볼 수 있는 유일한 카페라는 것만으로도 이미 별 다섯개입니다. 특히 화장실 뷰가 최고이니 화장실 꼭 가보세요. (?;)
2. 자리도 많고 넓고 탁 트여 어디 앉아도 좋습니다. 자리 배치 정말 잘 함.
3. 치아바타 진심으로 맛있습니다. 맛있다는 제주 빵집들 다닐 때마다 치아바타는 꼭 사 먹어보는데 그 중 넘버원입니다. 꼭 드세요. 가격만 보면 다소 비싸게 느껴지나 사이즈가 크기 때문에 납득됨.

**단점**
1. 옛 리조트 건물인데 아치형 구조 때문에 오름이 반으로 쪼개져 보여 약간 답답합니다.....
2. 외관은 일부러 빈티지하게 해놓은 것이지만 으스스합니다.. 카페인 걸 몰랐던 과거엔 절대 가 볼 생각 못 했으니깐요.너무 좋다
제주를...이렇게 편하게 느낄 수 있는 곳
새별오름을 한 눈에 담아서 커피와 디저트와 빵을 냠냠
제주 향토음식 그만 먹고 싶을때 딱!
물론 사람도 많지만..
오래된 호텔을 감각적으로 개조했고 
음악도 좋다
엄마아빠랑 가도 좋공 
애기들 데려가도 좋공
잠깐 쉬었다 오름올라도 좋고 
안 올라가고 그냥 봐도 좋고 진짜 크고 경치는 좋지만.. 너무 사람 많고 비싸다 ㅠㅠ저 푸른 초원위에 말있고 분위기 좋고 커피랑 빵 맛남제주도에서 아마 가장 큰 규모와 뷰가 아닐까싶어요. 최고!!!"
598,새소년,아기자기함
599,새콤달콤,"잔차타고 요올심히 달려와서
새콤달콤이 먹고있떠여~ 자몽요거트에염^♡^
아프다~ 햄보깨주어 ~ 라고 죵신성이 노래도 해주구염. 키~"
600,새콤달콤 애월점,"바다뷰 좋아요 아슈크림 맛있어요조금 비싸지만 맛있어요
애월 해수욕장을 산책하며 먹기 참 좋음망고주스보다 막대아이스크림 넘나맛나는데 가격이 좀 쎈듯"
601,색달로망스,"색달에서 일주일 
숙소근처인데 몰라보다니...
커피맛 디저트맛 베리굳 딜리셔스네요
일단 모양도 넘 이쁘다는..."
602,샐리가든커피 법원점,친절하고 커피도 맛있습니다~! 
603,생음악라이브,이 이하 점수를 못주는 게 안타깝네요. 서비스가 엉망입니다.돈까스가 괜찮네요 ㅎㅎ샐러드도 맛있고 소스도 적당해요
604,샤라의정원,"허니문 식사했는데 느끼하지 않고 맛있어서 접시를 핥아먹고 싶었네요. 식후 차도 좋았고요. 주차장은 별도로 없어 옆인테리어 회사를 이용했네요. 맛있습니다.예뻐요 차향이 그윽한~차 종류가 정말 다양해요. 
정원도 아기자기하고 꼭 시간여행하는 기분
친절한 주인분께서 설명도 해주시고 찻잔도 다 너무 예뻐요1. 일단 정원과 인테리어가 이뻤어요. 가게에 들어서면 허브향이 물씬 풍기고, 사장님이 꽃차를 직접 덖어서 만드시고, 과일청 종류도 직접 만드시는 것 같았어요.  2. 사장님이 매우 친절하세요. 저희가 방문한 날은 혼자 일하시는 날이라 음식이 좀 늦긴 했지만, 음식 맛도 괜찮았고 가격대비 질도 좋았어요.  3. 단점은 위치찾기가 좀 어려웠다는거. ^^퀄리티 높은 맛과 인테리어슬로푸드라고 기대를 하고 갔는데... 손님도 몇테이블 없는 것 같더니만 설겆이거리 손님들 보이는 데에 늘어놓고..."
605,서귀피안,"맛있다 분위기좋고!!너무 이쁘고 시간가는줄 모름여유롭고 분위기 최고예요!주차공간 협소, 보기에만, 예쁘다.
맛은 싱겁다."
606,서귀피안세컨룸,"제주도에서 먹은 카페중에 최고여태 와본 카페중에 제일이뻐요
인테리어 대박
인생샷 건질수 있어요여기 직원분들 너무너무~이쁘시고~
친절하시고 음료도 너무너무 맛있어요♡
분위기 너무 좋아요~"
607,서로,"조용하고 감성도 넘치는 예쁜 곳
사장님도 왕 친절하셔요!맛있고 분위기 좋음.
한적한 위치라 더 좋네요두 모금 마시고 찍는거라 잘 찍히진 않았지만
플랫화이트 우유 거품 한방울도 없어서 슬펐어요..사장님 넘 친절하시고 커피도 맛있어요~ 분위기도 쵝오 사진찍어두이뻐욤Amazing! Quaint and warm feels.. Fairly priced coffee, good taste too! 생각보다 꽤 넓고요 방이 여러개로 나눠져서 있어서 좋아요. 인테리어 구경하는 재미가 쏠쏠.. 플레이팅도 이쁘구 사장님 친절하셔요분위기 굿"
608,서양차관,조용하게 쉬기 좋음 클래식 홍차 양호 
609,서홍정원,"편안한 공간이라 좋아해요. 솜반천을 산책하기도 좋습니다.CU 바로 뒤 골목으로 걸어가면 나온다.
크지는 않지만 계단이 예쁘고 음료도 맛있다.
다만 가격은 있는편사과스파클링 짱커피는 스타벅스커피처럼 찐한 맛. 창밖으로 보이는 단풍나무 뷰가 예쁨. 주차는 불가. 골목 밖에 대고 들어오세요.아기자기~  아늑~
창가에 보이는 구름이 사랑스럽게 느껴지는 곳이예요
옆에 계곡이 있는 마을 산책로도 있답니다
주차는 근처 다른곳에 하세요
마을 안쪽에 있어서 주차할곳은 없어요일반적인 제주카페 분위기와 달리 이국적. 조용해서 좋았지만 커피와 빵의 맛은 그냥 그렇습니다. 사진은 이쁘게 나옴.Americano is?

커피는 달달해야  맛있지! 라는  나에게  찾아온

서홍정원  아메,  고마워."
610,선인장을부탁해,"
사람이 원래 잘 없는곳에 있어서 그런가 조용해서 좋았구 뷰가 앞에 건물때문에 많이 가려져서 아쉬웠지만 바로 앞이 바다라 너무 좋았어여 제가 먹은게 백련초청?이였나 그랬는데 ㅋㅋㅋㅋ 어르신들이 좋아하실만한 맛이여서 저는 실패.. 
그거 말곤 백년초쿠키!!! 진짜 사올걸 그랬어요 ㅜㅜ 너무 맛있었습니다!! "
611,선흘,"제주라프 가는길에 저녁에 유일하게 문 열린 카페라 들렸는데, 커피가 정말 맛있었어요. 최고의 브런치피자맛있어요ㅋ 커피도 굿ㅋ잠시 쉬었다 가기선흘브런치는 가격대비....너무 별루입니다...........빵닭은 특이하고,겉은 바삭하고, 직접빵만드시던데....맛있었지만.....금액은.....음료 따로 주문해야 하니....넘 비싸요..ㅜㅜ따스한 햇살을 받으며, 어떠한 첨가물도 들어 있지 않은 치아바타 맛에 그냥 무너집니다. 선인동 정류장 앞을 지나며 늘 궁금하던 선흘 카페에 드디어 들렀어요. 회랑 같이 길고 천장이 높은 공간에 엄청난 양의 LP판과 책들이 꽂힌 서가가 있고, 주인께서 손수 짜셨다는 통판 테이블들과 창밖 예쁜 꽃들이며 나무들이 어우려져,유럽 어느 전원에 와 있는 것 같았어요. 아침마다 굽는다는 치아바타와 구수한 커피가 예사롭지 않네요. 멋진 장소가 생겨 좋아요."
612,설빙 서귀점,시원하게 메론빙수 먹었어요
613,설빙 신제주직영점,"별이 하나여도 아깝습니다 ㅠㅠㅠ
매장 청소도 깔끔하지 못하고 화장실은 어느 종로 건물인 줄 알았네요.. 냄새 너무 심하고요.. 
무슨 조화랑 화분은 그렇게 많은지 관리가 안되는 거 같던데... 
망고치즈빙수 먹었는데 다른 매장보다 너무 달아요 ㅠㅠ 
진짜 얼마 안먹고 남겼습니다 
사장님 착하시고, 서비스로 과자도 주셨어요! 너무좋아요!!중국인들개많고 그것까진 그래 좋다 쳐요
매장안에서 중국인들 지새끼 똥귀저기 갈고 똥냄새 ○○○나고 귀저기를 갈던말던 제재도없고 그냥 서비스 개최악 내인생 최악의매장 진짜 이런매장없습니다. 설빙본사 관리안하나요?;;;아니 알바생이 너무 싸가지없어요 알반지 사장인지
왜 평점이 낮은줄 알꺼같아요최악
망고치즈빙수 위에 블루베리요거트 아이스크림 올려주고 이거 올려주는거 맞다고 하고(심지어 아이스크림도 반스쿱도 안푼듯) 얼음도 한참전에 갈아둔거 준건지 눈꽃빙수가 아니라 그냥 얼음빙수고, 빙수 안에 치즈있어야하지만 단 1도 없음
맛이야 기본재료 하나씩이라도 넣었으니깐 보장은 되겠지^^
양, 질 모두다 최악인곳
본사는 이런데 왜 관리를 안하는지
쟁반도 다깨짐커피도 빙수도 빵도 다~~ 맛 없어요 치즈망고빙수 시켰는데 망고가 되게 적고 아이스크림도 작고 녹아있네요. 밑 분 말씀대로 양을 적게 주는 게 맘에 안 들지만 worst랄 것까진 없는 것 같네요.제가 바보같이 반쯤 먹고 리뷰올릴 생각을 해서 반만 찍었네요.. 애플망고빙수를 검색해봐도 확연히 차이 나는 망고양.. 물론 포스터에 나오는 사진은 꿈꾸지도 않았고 리뷰에 나오는 양 정도는 나와야하는거 아닌가요? 가서 물어봤더니 여기는 망고를 쌓아올리지 않을뿐 그램수대로 나오는거라고.. 제가 설빙을 하루이틀 다녀본건 아니지만 이렇게 리뷰를 쓸만큼 실망한적은 처음이에요. 돈을 더 내도 상관없으니 이것보다는 더 나와야하는거 아니냐했더니 그램수대로 나간거라 어쩔 수가 없다네요. 그냥 이제 신제주지점은 안올거 같아요 ;;별 2도아까움마이너스가없다는게 안타깝네요.맛 서비스 전부최악지금껏다녀본수많은 카페중 단연1등 워스트카페돈주고 무시받고싶으신분 다녀오세요."
614,설빙 제주시청점,인절미 설빙이 이래요 ^^ 재료 너무 아끼네요 맛없어요 가지마세요
615,설빙 제주아라점,제주도에 있는 설빙 중에 설빙빙수를 제일 제대로 주는 곳이 아닐까 합니다 ..좋네요코리안 디저트 카페 설빙이 제주 이도지구에도 오픈 ㅎㅎ
616,설빙 제주협재점,딸기빙수 개시해서 반가운데 재료 아끼는건 맞는듯
617,설심당 본점,"분위기도 커피도.바다뷰도 짱입니다팥빙수 설빙보다 맛있네요~ 팥이 알알이. 덜 달아요. 다만 기본 팥 양이 적어서 천 원 내고 추가.본래떡집이라팥빙수는좀아닌듯... 떡은쫄깃쫄깃맛있네요~^^ 해안도로에위치해있어서분위기는아주좋음쏘쏘
주차는 안좋다
경치는 좋다인스타 친구 추천으로 가봄. 
바다보면서 먹을 수 있는 빙수. 
설빙과는 또 다른 느낌. 
밤보다는 낮에 추천. 
호떡 맛있어서 먹다보니 모자르고 도너츠 맛있음. 
주변 테이블에서 녹차빙수 망고빙수도 종종 보임. 팥은 위에만 있지 않고 안에도 또 들어있음. 얼음은 우유얼음이라 더 맛남. 
인스타 한번하고 오니 부모님이 다 드셔버림. 눈꽃빙수 부들부들"
618,섬마을청년회관,살면서 리뷰 처음써봐요~너무 만족하고 친절하신 사장님덕분에 너무 좋은 추억 만들고왔습니다 ^^
