번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
175,한강교회 행복대학,서울특별시 용산구 이촌동 301-54번지 한강교회 ,,20101101,운영중,,,,,,,55,,10,198268.840427       ,446369.318704       ,운영
176,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110114,운영중,,,,,,,50,3,1,197464.229979       ,449985.369951       ,운영
177,새남터성당 시니어아카데미,서울특별시 용산구 이촌동 199-1번지 ,,20090521,운영중,,,,,,,150,0,4,196121.598619       ,446967.345468       ,운영
178,염천교회 늘푸른대학,서울특별시 용산구 갈월동 11-32번지 ,,20060309,운영중,,,,,,,100,2,20,197500.647679       ,449425.488192       ,운영
179,삼각교회 상록대학,서울특별시 용산구 한강로1가 ,,20080509,운영중,,,,,,,100,,7,,,운영
180,선인은빛대학,서울특별시 용산구 원효로4가 ,,20130812,운영중,,,,,,,0,,,,,운영
181,용산성당 성모성심 아카데미,서울특별시 용산구 산천동 2-11번지 ,,20040302,운영중,,,,,,,150,12,12,195776.065822       ,448309.440996       ,운영
182,원동교회노인대학,서울특별시 용산구 원효로2가 55-3번지 ,,20040813,운영중,,,,,,,70,0,5,,,운영
183,원동교회 늘품나루학교,서울특별시 용산구 원효로2가 55-3번지 ,,20040813,운영중,,,,20160101,,,0,0,5,,,운영
184,해방경로대학,서울특별시 용산구 용산동2가 31번지 ,,20040813,운영중,,,,,,,200,0,22,198622.425712       ,449124.726042       ,운영
185,해방교회 경로대학,서울특별시 용산구 용산동2가 31번지 ,,20040813,운영중,,,,,,,0,0,22,198622.425712       ,449124.726042       ,운영
186,해방촌성당 성가정 노인교실,서울특별시 용산구 용산동2가 ,,20040920,운영중,,,,,,,80,0,17,,,운영
187,동성교회 경로대학,서울특별시 용산구 동자동 22-70번지 ,,20040920,운영중,,,,,,,0,0,17,197623.728231       ,449666.123983       ,운영
188,영주노인대학,서울특별시 용산구 후암동 415-5번지 ,,20050307,운영중,,,,,,,150,2,15,198330.958347       ,449414.740564       ,운영
189,영주교회 노인교실,서울특별시 용산구 후암동 415-5번지 ,,20050307,운영중,,,,,,,150,2,15,198330.958347       ,449414.740564       ,운영
190,이촌동교회노인교실,서울특별시 용산구 이촌동 199-2번지 ,,20010320,운영중,,,,,,,90,0,20,196102.01523        ,447001.802791       ,운영
191,도원동교회 노인교실,서울특별시 용산구 도원동 4-3번지 ,,20020930,운영중,,,,,,,100,7,8,196204.456236       ,448511.07582        ,운영
192,청암교회 노인교실,서울특별시 용산구 청파동1가 97-32번지 ,,20030203,운영중,,,,,,,100,0,100,196985.147584       ,449455.37565        ,운영
193,신용산교회 소망노인교실,서울특별시 용산구 한강로3가 ,,20030212,운영중,,,,,,,150,0,150,,,운영
194,(사)대한노인회용산지회노인교실,서울특별시 용산구 효창동 255번지 ,,20030403,운영중,,,,,,,0,0,65,196415.008878       ,449214.41396        ,운영
195,대한노인회서울특별시연합회부설노인교실,서울특별시 용산구 효창동 255번지 ,,20030428,운영중,,,,,,,150,0,150,196415.008878       ,449214.41396        ,운영
196,후암동성당 시니어아카데미,서울특별시 용산구 후암동 38-3번지 ,,20040302,운영중,,,,,,,100,10,10,198007.686106       ,449964.08866        ,운영
197,청파동성당 시니어아카데미,서울특별시 용산구 청파동3가 132-9번지 ,,20040302,운영중,,,,,,,100,15,15,196800.203697       ,449041.187643       ,운영
198,한강성당 대건 노인대학,서울특별시 용산구 이촌동 ,,20040302,운영중,,,,,,,100,16,16,,,운영
199,세광교회 노인교실,서울특별시 용산구 이태원동 252-15번지 ,,20000627,운영중,,,,,,,120,0,1,199094.706693       ,448648.267836       ,운영
200,대한노인회용산구지회,서울특별시 용산구 이촌동 301-147번지 ,,19910514,운영중,,,,,,,70,0,1,197693.396841       ,446447.502026       ,운영
201,이태원성당 상아탑 노인교실,서울특별시 용산구 이태원동 96-3번지 ,,19910514,운영중,,,,,,,87,0,1,199547.435181       ,447789.177727       ,운영
202,충신평생대학,서울특별시 용산구 이촌동 ,,20131031,운영중,,,,,,,0,,,,,운영
203,구산교회 실버대학,서울특별시 은평구 구산동 16-26번지 ,,20120926,운영중,,,,,,,0,,,192152.49601        ,456322.28748        ,운영
204,역촌 시니어 아카데미,서울특별시 은평구 역촌동 ,,20130403,운영중,,,,,,,0,,11,,,운영
205,한성늘푸른대학,서울특별시 은평구 응암동 ,,20130403,운영중,,,,,,,0,,15,,,운영
206,서울인생이모작지원센터,서울특별시 은평구 녹번동 서울인생이모작지원센터 ,,20130413,운영중,,,,,,,0,,,,,운영
207,서문교회 장수대학,서울특별시 은평구 응암동 서문교회 ,,20120621,운영중,,,,,,,0,,,,,운영
208,오병이어,서울특별시 은평구 대조동 67-12번지 ,,20110318,운영중,,,,,,,0,1,1,193171.5657         ,456314.967928       ,운영
209,은평감리교회 평생교육원,서울특별시 은평구 녹번동 153-16번지 ,,20090805,운영중,,,,,,,80,1,24,193150.072536       ,455805.494196       ,운영
210,서광 어르신대학,서울특별시 은평구 갈현동 1-25번지 ,,20090930,운영중,,,,,,,101,5,11,192805.042917       ,458382.739086       ,운영
211,늘푸른교실,서울특별시 은평구 갈현동 444-7번지 ,,20060418,운영중,,,,,,,50,3,22,192474.86504        ,457717.879406       ,운영
212,은평교회노인교실,서울특별시 은평구 역촌동 85-38번지 ,,20060627,운영중,,,,,,,55,1,12,192437.741858       ,455272.040818       ,운영
213,로뎀노인교실,서울특별시 은평구 불광동 484-221번지 ,,20050905,운영중,,,,,,,50,1,8,192942.065647       ,457650.324842       ,운영
214,연신내성당 노인교실,서울특별시 은평구 불광동 67-2번지 ,,20050118,운영중,,,,,,,51,0,0,193641.625716       ,458320.316236       ,운영
215,응암 시니어 아카데미,서울특별시 은평구 응암동 ,,20060125,운영중,,,,,,,100,1,75,,,운영
216,천주교불광동성당노인교실,서울특별시 은평구 불광동 286-53번지 ,,20040220,운영중,,,,,,,88,1,11,193432.356511       ,456983.325942       ,운영
217,향후노인교실,서울특별시 은평구 역촌동 15-10번지 ,,20041102,운영중,,,,,,,80,0,1,193015.36052        ,456107.856531       ,운영
218,응암교회노인교실,서울특별시 은평구 응암동 68-1번지 ,,20041130,운영중,,,,,,,200,0,15,193756.456247       ,455285.068079       ,운영
219,역촌동 노인교실,서울특별시 은평구 역촌동 56-11번지 ,,20041220,운영중,,,,,,,66,0,0,,,운영
220,연신내성당노인교실,서울특별시 은평구 불광동 67-2번지 ,,20050118,운영중,,,,,,,51,1,9,193641.625716       ,458320.316236       ,운영
221,녹번동성령강림노인교실,서울특별시 은평구 녹번동 79-8번지 ,,20050207,운영중,,,,,,,50,2,10,193810.718141       ,455489.141606       ,운영
222,수색시니어 아카데미,서울특별시 은평구 증산동 221-1번지 ,,20050512,운영중,,,,,,,120,1,18,191263.375794       ,453001.39239        ,운영
223,갈현성당노인교실,서울특별시 은평구 갈현동 428-3번지 ,,20050607,운영중,,,,,,,50,1,12,192602.287695       ,457640.09458        ,운영
224,은평제일노인교실,서울특별시 은평구 불광동 191-8번지 ,,20010331,운영중,,,,,,,300,0,18,193864.27939        ,457717.689836       ,운영
225,안디옥노인교실,서울특별시 은평구 신사동 337-10번지 ,,20030901,운영중,,,,,,,80,2,2,192244.91917        ,454249.941362       ,운영
226,신사노인교실,서울특별시 은평구 신사동 26-18번지 ,,19970526,운영중,,,,,,,50,0,0,192178.739368       ,455082.177106       ,운영
227,성진교회 늘푸른대학,서울특별시 성동구 성수동2가 339-55번지 ,,20090330,운영중,,,,,,,50,0,0,204766.317903       ,448566.934772       ,운영
228,성답경로대학,서울특별시 성동구 용답동 166-1번지 ,,20091013,운영중,,,,,,,120,2,20,204467.327535       ,451363.314631       ,운영
229,성답경로대학,서울특별시 성동구 용답동 166-1번지 ,,20091013,운영중,,,,,,,120,2,20,204467.327535       ,451363.314631       ,운영
230,금호경로대학,서울특별시 성동구 금호동3가 165-1번지 ,,20091015,운영중,,,,,,,120,1,10,202014.436229       ,449611.054297       ,운영
231,금호경로대학,서울특별시 성동구 금호동3가 165-1번지 ,,20091015,운영중,,,,,,,120,1,10,202014.436229       ,449611.054297       ,운영
